                               Labor Force Data by County, 1993 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate
CN0107900000000   01     079   Lawrence County, AL                               1993        15,338       13,851      1,487      9.7
CN0108100000000   01     081   Lee County, AL                                    1993        44,267       41,692      2,575      5.8
CN0108300000000   01     083   Limestone County, AL                              1993        27,208       25,622      1,586      5.8
CN0108500000000   01     085   Lowndes County, AL                                1993         4,256        3,460        796     18.7
CN0108700000000   01     087   Macon County, AL                                  1993         8,589        7,753        836      9.7
CN0108900000000   01     089   Madison County, AL                                1993       134,088      126,767      7,321      5.5
CN0109100000000   01     091   Marengo County, AL                                1993        10,718        9,564      1,154     10.8
CN0109300000000   01     093   Marion County, AL                                 1993        14,402       13,088      1,314      9.1
CN0109500000000   01     095   Marshall County, AL                               1993        37,539       34,662      2,877      7.7
CN0109700000000   01     097   Mobile County, AL                                 1993       187,148      171,841     15,307      8.2
CN0109900000000   01     099   Monroe County, AL                                 1993        10,162        8,701      1,461     14.4
CN0110100000000   01     101   Montgomery County, AL                             1993       104,151       98,181      5,970      5.7
CN0110300000000   01     103   Morgan County, AL                                 1993        51,584       47,951      3,633      7.0
CN0110500000000   01     105   Perry County, AL                                  1993         4,828        4,114        714     14.8
CN0110700000000   01     107   Pickens County, AL                                1993         9,130        8,091      1,039     11.4
CN0110900000000   01     109   Pike County, AL                                   1993        12,929       12,048        881      6.8
CN0111100000000   01     111   Randolph County, AL                               1993         9,673        8,783        890      9.2
CN0111300000000   01     113   Russell County, AL                                1993        22,452       20,770      1,682      7.5
CN0111500000000   01     115   St. Clair County, AL                              1993        25,786       24,200      1,586      6.2
CN0111700000000   01     117   Shelby County, AL                                 1993        60,445       58,365      2,080      3.4
CN0111900000000   01     119   Sumter County, AL                                 1993         6,140        5,372        768     12.5
CN0112100000000   01     121   Talladega County, AL                              1993        34,360       31,422      2,938      8.6
CN0112300000000   01     123   Tallapoosa County, AL                             1993        19,835       18,467      1,368      6.9
CN0112500000000   01     125   Tuscaloosa County, AL                             1993        72,453       68,695      3,758      5.2
CN0112700000000   01     127   Walker County, AL                                 1993        29,794       26,624      3,170     10.6
CN0112900000000   01     129   Washington County, AL                             1993         6,668        5,524      1,144     17.2
CN0113100000000   01     131   Wilcox County, AL                                 1993         4,007        3,307        700     17.5
CN0113300000000   01     133   Winston County, AL                                1993        11,837       10,952        885      7.5
CN0201300000000   02     013   Aleutians East Borough, AK                        1993         1,482        1,452         30      2.0
CN0201600000000   02     016   Aleutians West Census Area, AK                    1993         3,985        3,936         49      1.2
CN0202000000000   02     020   Anchorage Borough/municipality, AK                1993       131,813      123,923      7,890      6.0
CN0205000000000   02     050   Bethel Census Area, AK                            1993         5,028        4,673        355      7.1
CN0206000000000   02     060   Bristol Bay Borough, AK                           1993           633          595         38      6.0
CN0206800000000   02     068   Denali Borough, AK                                1993         1,022          927         95      9.3
CN0207000000000   02     070   Dillingham Census Area, AK                        1993         1,544        1,427        117      7.6
CN0209000000000   02     090   Fairbanks North Star Borough, AK                  1993        39,553       36,215      3,338      8.4
CN0210000000000   02     100   Haines Borough, AK                                1993         1,093          992        101      9.2
CN0211000000000   02     110   Juneau Borough/city, AK                           1993        16,156       15,160        996      6.2
CN0212200000000   02     122   Kenai Peninsula Borough, AK                       1993        20,454       17,801      2,653     13.0
CN0213000000000   02     130   Ketchikan Gateway Borough, AK                     1993         7,647        6,977        670      8.8
CN0215000000000   02     150   Kodiak Island Borough, AK                         1993         7,178        6,462        716     10.0
CN0215800000000   02     158   Kusilvak Census Area, AK                          1993         1,702        1,521        181     10.6
CN0216400000000   02     164   Lake and Peninsula Borough, AK                    1993           533          493         40      7.5
CN0217000000000   02     170   Matanuska-Susitna Borough, AK                     1993        22,403       19,943      2,460     11.0
CN0218000000000   02     180   Nome Census Area, AK                              1993         3,258        2,870        388     11.9
CN0218500000000   02     185   North Slope Borough, AK                           1993         2,984        2,846        138      4.6
CN0218800000000   02     188   Northwest Arctic Borough, AK                      1993         2,176        1,805        371     17.0
CN0220100000000   02     201   Prince of Wales-Outer Ketchikan Census Area, AK   1993         3,053        2,754        299      9.8
CN0222000000000   02     220   Sitka Borough/city, AK                            1993         4,717        4,427        290      6.1
CN0223200000000   02     232   Skagway-Hoonah-Angoon Census Area, AK             1993         2,516        2,277        239      9.5
CN0224000000000   02     240   Southeast Fairbanks Census Area, AK               1993         2,311        2,014        297     12.9
CN0226100000000   02     261   Valdez-Cordova Census Area, AK                    1993         5,208        4,718        490      9.4
CN0228000000000   02     280   Wrangell-Petersburg Census Area, AK               1993         3,642        3,324        318      8.7
CN0229000000000   02     290   Yukon-Koyukuk Census Area, AK                     1993         2,005        1,701        304     15.2
CN0400100000000   04     001   Apache County, AZ                                 1993        18,259       15,110      3,149     17.2
CN0400300000000   04     003   Cochise County, AZ                                1993        40,701       36,792      3,909      9.6
CN0400500000000   04     005   Coconino County, AZ                               1993        53,847       49,118      4,729      8.8
CN0400700000000   04     007   Gila County, AZ                                   1993        17,709       16,037      1,672      9.4
CN0400900000000   04     009   Graham County, AZ                                 1993        10,449        9,416      1,033      9.9
CN0401100000000   04     011   Greenlee County, AZ                               1993         3,978        3,548        430     10.8
CN0401200000000   04     012   La Paz County, AZ                                 1993         5,365        4,521        844     15.7
CN0401300000000   04     013   Maricopa County, AZ                               1993     1,184,151    1,124,576     59,575      5.0
CN0401500000000   04     015   Mohave County, AZ                                 1993        52,313       47,336      4,977      9.5
CN0401700000000   04     017   Navajo County, AZ                                 1993        29,794       25,709      4,085     13.7
CN0401900000000   04     019   Pima County, AZ                                   1993       348,764      334,529     14,235      4.1
CN0402100000000   04     021   Pinal County, AZ                                  1993        47,789       44,665      3,124      6.5
CN0402300000000   04     023   Santa Cruz County, AZ                             1993        14,628       12,129      2,499     17.1
CN0402500000000   04     025   Yavapai County, AZ                                1993        55,997       52,955      3,042      5.4
CN0402700000000   04     027   Yuma County, AZ                                   1993        57,386       41,387     15,999     27.9
CN0500100000000   05     001   Arkansas County, AR                               1993        10,505        9,905        600      5.7
CN0500300000000   05     003   Ashley County, AR                                 1993        10,897       10,140        757      6.9
CN0500500000000   05     005   Baxter County, AR                                 1993        13,153       12,520        633      4.8
CN0500700000000   05     007   Benton County, AR                                 1993        55,305       53,830      1,475      2.7
CN0500900000000   05     009   Boone County, AR                                  1993        14,372       13,772        600      4.2
CN0501100000000   05     011   Bradley County, AR                                1993         4,920        4,482        438      8.9
CN0501300000000   05     013   Calhoun County, AR                                1993         2,397        2,171        226      9.4
CN0501500000000   05     015   Carroll County, AR                                1993        11,856       11,250        606      5.1
CN0501700000000   05     017   Chicot County, AR                                 1993         6,287        5,718        569      9.1
CN0501900000000   05     019   Clark County, AR                                  1993        11,131       10,645        486      4.4
CN0502100000000   05     021   Clay County, AR                                   1993         8,291        7,554        737      8.9
CN0502300000000   05     023   Cleburne County, AR                               1993         8,830        8,178        652      7.4
CN0502500000000   05     025   Cleveland County, AR                              1993         3,764        3,532        232      6.2
CN0502700000000   05     027   Columbia County, AR                               1993        11,771       10,876        895      7.6
CN0502900000000   05     029   Conway County, AR                                 1993         9,216        8,564        652      7.1
CN0503100000000   05     031   Craighead County, AR                              1993        37,933       36,049      1,884      5.0
CN0503300000000   05     033   Crawford County, AR                               1993        22,079       20,614      1,465      6.6
CN0503500000000   05     035   Crittenden County, AR                             1993        21,856       20,328      1,528      7.0
CN0503700000000   05     037   Cross County, AR                                  1993         8,890        8,062        828      9.3
CN0503900000000   05     039   Dallas County, AR                                 1993         3,894        3,610        284      7.3
CN0504100000000   05     041   Desha County, AR                                  1993         7,107        6,501        606      8.5
CN0504300000000   05     043   Drew County, AR                                   1993         9,350        8,728        622      6.7
CN0504500000000   05     045   Faulkner County, AR                               1993        35,058       33,076      1,982      5.7
CN0504700000000   05     047   Franklin County, AR                               1993         7,794        7,352        442      5.7
CN0504900000000   05     049   Fulton County, AR                                 1993         4,475        4,203        272      6.1
CN0505100000000   05     051   Garland County, AR                                1993        34,524       31,954      2,570      7.4
CN0505300000000   05     053   Grant County, AR                                  1993         7,060        6,691        369      5.2
CN0505500000000   05     055   Greene County, AR                                 1993        16,173       15,163      1,010      6.2
CN0505700000000   05     057   Hempstead County, AR                              1993        10,828       10,010        818      7.6
CN0505900000000   05     059   Hot Spring County, AR                             1993        11,817       10,886        931      7.9
CN0506100000000   05     061   Howard County, AR                                 1993         6,766        6,336        430      6.4
CN0506300000000   05     063   Independence County, AR                           1993        16,307       15,353        954      5.9
CN0506500000000   05     065   Izard County, AR                                  1993         4,162        3,796        366      8.8
CN0506700000000   05     067   Jackson County, AR                                1993         8,342        7,391        951     11.4
CN0506900000000   05     069   Jefferson County, AR                              1993        37,391       33,877      3,514      9.4
CN0507100000000   05     071   Johnson County, AR                                1993         9,384        8,880        504      5.4
CN0507300000000   05     073   Lafayette County, AR                              1993         3,611        3,326        285      7.9
CN0507500000000   05     075   Lawrence County, AR                               1993         7,917        7,349        568      7.2
CN0507700000000   05     077   Lee County, AR                                    1993         4,679        4,164        515     11.0
CN0507900000000   05     079   Lincoln County, AR                                1993         5,140        4,764        376      7.3
CN0508100000000   05     081   Little River County, AR                           1993         5,686        5,232        454      8.0
CN0508300000000   05     083   Logan County, AR                                  1993        10,045        9,556        489      4.9
CN0508500000000   05     085   Lonoke County, AR                                 1993        21,180       20,179      1,001      4.7
CN0508700000000   05     087   Madison County, AR                                1993         6,817        6,584        233      3.4
CN0508900000000   05     089   Marion County, AR                                 1993         5,315        5,132        183      3.4
CN0509100000000   05     091   Miller County, AR                                 1993        17,075       15,875      1,200      7.0
CN0509300000000   05     093   Mississippi County, AR                            1993        26,947       24,145      2,802     10.4
CN0509500000000   05     095   Monroe County, AR                                 1993         4,384        4,044        340      7.8
CN0509700000000   05     097   Montgomery County, AR                             1993         3,793        3,637        156      4.1
CN0509900000000   05     099   Nevada County, AR                                 1993         4,572        4,297        275      6.0
CN0510100000000   05     101   Newton County, AR                                 1993         2,946        2,774        172      5.8
CN0510300000000   05     103   Ouachita County, AR                               1993        12,864       11,358      1,506     11.7
CN0510500000000   05     105   Perry County, AR                                  1993         3,534        3,218        316      8.9
CN0510700000000   05     107   Phillips County, AR                               1993        10,998        9,780      1,218     11.1
CN0510900000000   05     109   Pike County, AR                                   1993         4,630        4,338        292      6.3
CN0511100000000   05     111   Poinsett County, AR                               1993        11,010        9,999      1,011      9.2
CN0511300000000   05     113   Polk County, AR                                   1993         8,087        7,720        367      4.5
CN0511500000000   05     115   Pope County, AR                                   1993        25,450       24,167      1,283      5.0
CN0511700000000   05     117   Prairie County, AR                                1993         3,903        3,505        398     10.2
CN0511900000000   05     119   Pulaski County, AR                                1993       189,596      180,516      9,080      4.8
CN0512100000000   05     121   Randolph County, AR                               1993         7,690        7,058        632      8.2
CN0512300000000   05     123   St. Francis County, AR                            1993        11,973       10,388      1,585     13.2
CN0512500000000   05     125   Saline County, AR                                 1993        35,947       34,357      1,590      4.4
CN0512700000000   05     127   Scott County, AR                                  1993         5,027        4,839        188      3.7
CN0512900000000   05     129   Searcy County, AR                                 1993         2,973        2,813        160      5.4
CN0513100000000   05     131   Sebastian County, AR                              1993        54,101       50,825      3,276      6.1
CN0513300000000   05     133   Sevier County, AR                                 1993         7,048        6,714        334      4.7
CN0513500000000   05     135   Sharp County, AR                                  1993         5,610        5,203        407      7.3
CN0513700000000   05     137   Stone County, AR                                  1993         4,847        4,554        293      6.0
CN0513900000000   05     139   Union County, AR                                  1993        21,099       19,579      1,520      7.2
CN0514100000000   05     141   Van Buren County, AR                              1993         5,910        5,420        490      8.3
CN0514300000000   05     143   Washington County, AR                             1993        66,955       64,930      2,025      3.0
CN0514500000000   05     145   White County, AR                                  1993        27,998       25,833      2,165      7.7
CN0514700000000   05     147   Woodruff County, AR                               1993         4,020        3,592        428     10.6
CN0514900000000   05     149   Yell County, AR                                   1993         9,147        8,723        424      4.6
CN0600100000000   06     001   Alameda County, CA                                1993       677,590      632,236     45,354      6.7
CN0600300000000   06     003   Alpine County, CA                                 1993           360          313         47     13.1
CN0600500000000   06     005   Amador County, CA                                 1993        12,821       11,625      1,196      9.3
CN0600700000000   06     007   Butte County, CA                                  1993        82,492       72,595      9,897     12.0
CN0600900000000   06     009   Calaveras County, CA                              1993        14,945       13,129      1,816     12.2
CN0601100000000   06     011   Colusa County, CA                                 1993         8,478        6,635      1,843     21.7
CN0601300000000   06     013   Contra Costa County, CA                           1993       442,129      412,757     29,372      6.6
CN0601500000000   06     015   Del Norte County, CA                              1993         9,753        8,366      1,387     14.2
CN0601700000000   06     017   El Dorado County, CA                              1993        67,433       61,549      5,884      8.7
CN0601900000000   06     019   Fresno County, CA                                 1993       361,695      305,602     56,093     15.5
CN0602100000000   06     021   Glenn County, CA                                  1993        11,357        9,382      1,975     17.4
CN0602300000000   06     023   Humboldt County, CA                               1993        59,584       53,665      5,919      9.9
CN0602500000000   06     025   Imperial County, CA                               1993        55,298       39,035     16,263     29.4
CN0602700000000   06     027   Inyo County, CA                                   1993         7,107        6,313        794     11.2
CN0602900000000   06     029   Kern County, CA                                   1993       273,345      230,068     43,277     15.8
CN0603100000000   06     031   Kings County, CA                                  1993        40,934       34,672      6,262     15.3
CN0603300000000   06     033   Lake County, CA                                   1993        22,877       19,813      3,064     13.4
CN0603500000000   06     035   Lassen County, CA                                 1993        10,933        9,572      1,361     12.4
CN0603700000000   06     037   Los Angeles County, CA                            1993     4,347,927    3,913,235    434,692     10.0
CN0603900000000   06     039   Madera County, CA                                 1993        47,870       40,060      7,810     16.3
CN0604100000000   06     041   Marin County, CA                                  1993       130,684      123,949      6,735      5.2
CN0604300000000   06     043   Mariposa County, CA                               1993         7,240        6,510        730     10.1
CN0604500000000   06     045   Mendocino County, CA                              1993        40,353       35,793      4,560     11.3
CN0604700000000   06     047   Merced County, CA                                 1993        83,243       68,772     14,471     17.4
CN0604900000000   06     049   Modoc County, CA                                  1993         3,928        3,392        536     13.6
CN0605100000000   06     051   Mono County, CA                                   1993         5,975        5,412        563      9.4
CN0605300000000   06     053   Monterey County, CA                               1993       176,744      153,635     23,109     13.1
CN0605500000000   06     055   Napa County, CA                                   1993        57,973       53,384      4,589      7.9
CN0605700000000   06     057   Nevada County, CA                                 1993        40,205       36,801      3,404      8.5
CN0605900000000   06     059   Orange County, CA                                 1993     1,326,902    1,236,273     90,629      6.8
CN0606100000000   06     061   Placer County, CA                                 1993        93,149       85,584      7,565      8.1
CN0606300000000   06     063   Plumas County, CA                                 1993         9,680        8,212      1,468     15.2
CN0606500000000   06     065   Riverside County, CA                              1993       582,050      511,391     70,659     12.1
CN0606700000000   06     067   Sacramento County, CA                             1993       529,619      485,342     44,277      8.4
CN0606900000000   06     069   San Benito County, CA                             1993        22,256       18,674      3,582     16.1
CN0607100000000   06     071   San Bernardino County, CA                         1993       675,880      608,655     67,225      9.9
CN0607300000000   06     073   San Diego County, CA                              1993     1,218,067    1,122,528     95,539      7.8
CN0607500000000   06     075   San Francisco County/city, CA                     1993       406,129      377,344     28,785      7.1
CN0607700000000   06     077   San Joaquin County, CA                            1993       241,861      207,589     34,272     14.2
CN0607900000000   06     079   San Luis Obispo County, CA                        1993       101,239       92,946      8,293      8.2
CN0608100000000   06     081   San Mateo County, CA                              1993       368,361      349,558     18,803      5.1
CN0608300000000   06     083   Santa Barbara County, CA                          1993       192,907      177,938     14,969      7.8
CN0608500000000   06     085   Santa Clara County, CA                            1993       846,876      787,983     58,893      7.0
CN0608700000000   06     087   Santa Cruz County, CA                             1993       140,344      125,640     14,704     10.5
CN0608900000000   06     089   Shasta County, CA                                 1993        73,175       63,919      9,256     12.6
CN0609100000000   06     091   Sierra County, CA                                 1993         1,807        1,607        200     11.1
CN0609300000000   06     093   Siskiyou County, CA                               1993        19,309       16,304      3,005     15.6
CN0609500000000   06     095   Solano County, CA                                 1993       174,705      160,362     14,343      8.2
CN0609700000000   06     097   Sonoma County, CA                                 1993       220,068      205,456     14,612      6.6
CN0609900000000   06     099   Stanislaus County, CA                             1993       194,155      161,404     32,751     16.9
CN0610100000000   06     101   Sutter County, CA                                 1993        34,687       28,150      6,537     18.8
CN0610300000000   06     103   Tehama County, CA                                 1993        23,310       20,234      3,076     13.2
CN0610500000000   06     105   Trinity County, CA                                1993         5,184        4,315        869     16.8
CN0610700000000   06     107   Tulare County, CA                                 1993       157,673      128,987     28,686     18.2
CN0610900000000   06     109   Tuolumne County, CA                               1993        20,617       18,155      2,462     11.9
CN0611100000000   06     111   Ventura County, CA                                1993       375,302      341,278     34,024      9.1
CN0611300000000   06     113   Yolo County, CA                                   1993        82,692       76,030      6,662      8.1
CN0611500000000   06     115   Yuba County, CA                                   1993        23,003       18,973      4,030     17.5
CN0800100000000   08     001   Adams County, CO                                  1993       150,745      142,597      8,148      5.4
CN0800300000000   08     003   Alamosa County, CO                                1993         7,214        6,694        520      7.2
CN0800500000000   08     005   Arapahoe County, CO                               1993       247,447      236,918     10,529      4.3
CN0800700000000   08     007   Archuleta County, CO                              1993         3,016        2,784        232      7.7
CN0800900000000   08     009   Baca County, CO                                   1993         2,085        2,029         56      2.7
CN0801100000000   08     011   Bent County, CO                                   1993         2,179        2,089         90      4.1
CN0801300000000   08     013   Boulder County, CO                                1993       139,832      133,330      6,502      4.6
CN0801400000000   08     014   Broomfield County/city, CO                        1993        15,772       15,218        554      3.5
CN0801500000000   08     015   Chaffee County, CO                                1993         6,398        6,011        387      6.0
CN0801700000000   08     017   Cheyenne County, CO                               1993         1,143        1,104         39      3.4
CN0801900000000   08     019   Clear Creek County, CO                            1993         4,961        4,602        359      7.2
CN0802100000000   08     021   Conejos County, CO                                1993         3,224        2,907        317      9.8
CN0802300000000   08     023   Costilla County, CO                               1993         1,731        1,535        196     11.3
CN0802500000000   08     025   Crowley County, CO                                1993         1,185        1,116         69      5.8
CN0802700000000   08     027   Custer County, CO                                 1993         1,275        1,203         72      5.6
CN0802900000000   08     029   Delta County, CO                                  1993         9,208        8,547        661      7.2
CN0803100000000   08     031   Denver County/city, CO                            1993       266,668      250,276     16,392      6.1
CN0803300000000   08     033   Dolores County, CO                                1993           718          621         97     13.5
CN0803500000000   08     035   Douglas County, CO                                1993        46,163       44,604      1,559      3.4
CN0803700000000   08     037   Eagle County, CO                                  1993        14,879       14,085        794      5.3
CN0803900000000   08     039   Elbert County, CO                                 1993         6,975        6,626        349      5.0
CN0804100000000   08     041   El Paso County, CO                                1993       208,845      195,715     13,130      6.3
CN0804300000000   08     043   Fremont County, CO                                1993        15,195       13,978      1,217      8.0
CN0804500000000   08     045   Garfield County, CO                               1993        18,208       17,030      1,178      6.5
CN0804700000000   08     047   Gilpin County, CO                                 1993         3,276        3,143        133      4.1
CN0804900000000   08     049   Grand County, CO                                  1993         4,932        4,676        256      5.2
CN0805100000000   08     051   Gunnison County, CO                               1993         6,930        6,490        440      6.3
CN0805300000000   08     053   Hinsdale County, CO                               1993           524          501         23      4.4
CN0805500000000   08     055   Huerfano County, CO                               1993         2,848        2,599        249      8.7
CN0805700000000   08     057   Jackson County, CO                                1993         1,102        1,029         73      6.6
CN0805900000000   08     059   Jefferson County, CO                              1993       272,310      260,612     11,698      4.3
CN0806100000000   08     061   Kiowa County, CO                                  1993           829          813         16      1.9
CN0806300000000   08     063   Kit Carson County, CO                             1993         3,268        3,145        123      3.8
CN0806500000000   08     065   Lake County, CO                                   1993         3,022        2,680        342     11.3
CN0806700000000   08     067   La Plata County, CO                               1993        20,416       19,194      1,222      6.0
CN0806900000000   08     069   Larimer County, CO                                1993       116,349      111,053      5,296      4.6
CN0807100000000   08     071   Las Animas County, CO                             1993         5,748        5,281        467      8.1
CN0807300000000   08     073   Lincoln County, CO                                1993         2,496        2,393        103      4.1
CN0807500000000   08     075   Logan County, CO                                  1993         8,546        8,197        349      4.1
CN0807700000000   08     077   Mesa County, CO                                   1993        49,836       46,303      3,533      7.1
CN0807900000000   08     079   Mineral County, CO                                1993           379          354         25      6.6
CN0808100000000   08     081   Moffat County, CO                                 1993         6,243        5,776        467      7.5
CN0808300000000   08     083   Montezuma County, CO                              1993        10,661        9,834        827      7.8
CN0808500000000   08     085   Montrose County, CO                               1993        12,929       12,157        772      6.0
CN0808700000000   08     087   Morgan County, CO                                 1993        11,798       11,334        464      3.9
CN0808900000000   08     089   Otero County, CO                                  1993         8,380        7,861        519      6.2
CN0809100000000   08     091   Ouray County, CO                                  1993         1,390        1,323         67      4.8
CN0809300000000   08     093   Park County, CO                                   1993         5,608        5,277        331      5.9
CN0809500000000   08     095   Phillips County, CO                               1993         1,793        1,754         39      2.2
CN0809700000000   08     097   Pitkin County, CO                                 1993         8,567        8,013        554      6.5
CN0809900000000   08     099   Prowers County, CO                                1993         6,018        5,715        303      5.0
CN0810100000000   08     101   Pueblo County, CO                                 1993        53,719       49,204      4,515      8.4
CN0810300000000   08     103   Rio Blanco County, CO                             1993         3,454        3,281        173      5.0
CN0810500000000   08     105   Rio Grande County, CO                             1993         4,947        4,514        433      8.8
CN0810700000000   08     107   Routt County, CO                                  1993         9,503        8,962        541      5.7
CN0810900000000   08     109   Saguache County, CO                               1993         2,357        2,083        274     11.6
CN0811100000000   08     111   San Juan County, CO                               1993           330          260         70     21.2
CN0811300000000   08     113   San Miguel County, CO                             1993         3,649        3,475        174      4.8
CN0811500000000   08     115   Sedgwick County, CO                               1993         1,206        1,155         51      4.2
CN0811700000000   08     117   Summit County, CO                                 1993         9,584        9,179        405      4.2
CN0811900000000   08     119   Teller County, CO                                 1993         9,996        9,228        768      7.7
CN0812100000000   08     121   Washington County, CO                             1993         2,182        2,110         72      3.3
CN0812300000000   08     123   Weld County, CO                                   1993        73,139       69,265      3,874      5.3
CN0812500000000   08     125   Yuma County, CO                                   1993         3,972        3,847        125      3.1
CN0900100000000   09     001   Fairfield County, CT                              1993       456,825      431,226     25,599      5.6
CN0900300000000   09     003   Hartford County, CT                               1993       455,390      422,850     32,540      7.1
CN0900500000000   09     005   Litchfield County, CT                             1993       104,086       97,598      6,488      6.2
CN0900700000000   09     007   Middlesex County, CT                              1993        83,951       78,791      5,160      6.1
CN0900900000000   09     009   New Haven County, CT                              1993       432,210      402,447     29,763      6.9
CN0901100000000   09     011   New London County, CT                             1993       132,744      124,615      8,129      6.1
CN0901300000000   09     013   Tolland County, CT                                1993        73,428       69,092      4,336      5.9
CN0901500000000   09     015   Windham County, CT                                1993        55,917       51,628      4,289      7.7
CN1000100000000   10     001   Kent County, DE                                   1993        66,653       62,965      3,688      5.5
CN1000300000000   10     003   New Castle County, DE                             1993       243,128      231,699     11,429      4.7
CN1000500000000   10     005   Sussex County, DE                                 1993        66,073       62,768      3,305      5.0
CN1100100000000   11     001   District of Columbia                              1993       314,324      287,993     26,331      8.4
CN1200100000000   12     001   Alachua County, FL                                1993        99,649       95,643      4,006      4.0
CN1200300000000   12     003   Baker County, FL                                  1993         8,709        7,910        799      9.2
CN1200500000000   12     005   Bay County, FL                                    1993        65,440       59,116      6,324      9.7
CN1200700000000   12     007   Bradford County, FL                               1993         9,662        9,049        613      6.3
CN1200900000000   12     009   Brevard County, FL                                1993       212,950      196,053     16,897      7.9
CN1201100000000   12     011   Broward County, FL                                1993       713,533      661,707     51,826      7.3
CN1201300000000   12     013   Calhoun County, FL                                1993         4,461        4,154        307      6.9
CN1201500000000   12     015   Charlotte County, FL                              1993        45,009       41,992      3,017      6.7
CN1201700000000   12     017   Citrus County, FL                                 1993        34,502       31,359      3,143      9.1
CN1201900000000   12     019   Clay County, FL                                   1993        58,664       55,681      2,983      5.1
CN1202100000000   12     021   Collier County, FL                                1993        80,616       73,607      7,009      8.7
CN1202300000000   12     023   Columbia County, FL                               1993        22,085       19,980      2,105      9.5
CN1202700000000   12     027   DeSoto County, FL                                 1993        10,195        9,123      1,072     10.5
CN1202900000000   12     029   Dixie County, FL                                  1993         3,960        3,608        352      8.9
CN1203100000000   12     031   Duval County, FL                                  1993       362,075      341,124     20,951      5.8
CN1203300000000   12     033   Escambia County, FL                               1993       123,137      116,684      6,453      5.2
CN1203500000000   12     035   Flagler County, FL                                1993        13,915       13,066        849      6.1
CN1203700000000   12     037   Franklin County, FL                               1993         4,448        4,282        166      3.7
CN1203900000000   12     039   Gadsden County, FL                                1993        18,954       17,708      1,246      6.6
