                               Labor Force Data by County, 1995 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                1995        19,632       18,525      1,107      5.6
CN0100300000000   01     003   Baldwin County, AL                                1995        60,795       57,914      2,881      4.7
CN0100500000000   01     005   Barbour County, AL                                1995        12,346       11,335      1,011      8.2
CN0100700000000   01     007   Bibb County, AL                                   1995         7,987        7,465        522      6.5
CN0100900000000   01     009   Blount County, AL                                 1995        20,985       20,065        920      4.4
CN0101100000000   01     011   Bullock County, AL                                1995         4,444        3,706        738     16.6
CN0101300000000   01     013   Butler County, AL                                 1995        10,010        9,173        837      8.4
CN0101500000000   01     015   Calhoun County, AL                                1995        53,388       49,241      4,147      7.8
CN0101700000000   01     017   Chambers County, AL                               1995        17,141       15,893      1,248      7.3
CN0101900000000   01     019   Cherokee County, AL                               1995        10,146        9,515        631      6.2
CN0102100000000   01     021   Chilton County, AL                                1995        17,542       16,452      1,090      6.2
CN0102300000000   01     023   Choctaw County, AL                                1995         6,815        6,119        696     10.2
CN0102500000000   01     025   Clarke County, AL                                 1995        13,548       12,166      1,382     10.2
CN0102700000000   01     027   Clay County, AL                                   1995         6,615        6,252        363      5.5
CN0102900000000   01     029   Cleburne County, AL                               1995         7,312        6,913        399      5.5
CN0103100000000   01     031   Coffee County, AL                                 1995        21,548       20,603        945      4.4
CN0103300000000   01     033   Colbert County, AL                                1995        26,702       24,815      1,887      7.1
CN0103500000000   01     035   Conecuh County, AL                                1995         6,704        6,008        696     10.4
CN0103700000000   01     037   Coosa County, AL                                  1995         5,409        5,147        262      4.8
CN0103900000000   01     039   Covington County, AL                              1995        17,669       16,487      1,182      6.7
CN0104100000000   01     041   Crenshaw County, AL                               1995         6,035        5,692        343      5.7
CN0104300000000   01     043   Cullman County, AL                                1995        37,434       35,483      1,951      5.2
CN0104500000000   01     045   Dale County, AL                                   1995        20,993       19,609      1,384      6.6
CN0104700000000   01     047   Dallas County, AL                                 1995        20,975       18,367      2,608     12.4
CN0104900000000   01     049   DeKalb County, AL                                 1995        31,216       29,616      1,600      5.1
CN0105100000000   01     051   Elmore County, AL                                 1995        26,350       25,088      1,262      4.8
CN0105300000000   01     053   Escambia County, AL                               1995        16,300       14,963      1,337      8.2
CN0105500000000   01     055   Etowah County, AL                                 1995        48,491       45,450      3,041      6.3
CN0105700000000   01     057   Fayette County, AL                                1995         8,749        8,255        494      5.6
CN0105900000000   01     059   Franklin County, AL                               1995        15,929       14,804      1,125      7.1
CN0106100000000   01     061   Geneva County, AL                                 1995        12,601       11,773        828      6.6
CN0106300000000   01     063   Greene County, AL                                 1995         3,627        3,124        503     13.9
CN0106500000000   01     065   Hale County, AL                                   1995         7,118        6,456        662      9.3
CN0106700000000   01     067   Henry County, AL                                  1995         6,466        6,021        445      6.9
CN0106900000000   01     069   Houston County, AL                                1995        42,275       40,257      2,018      4.8
CN0107100000000   01     071   Jackson County, AL                                1995        25,219       22,874      2,345      9.3
CN0107300000000   01     073   Jefferson County, AL                              1995       325,100      311,200     13,900      4.3
CN0107500000000   01     075   Lamar County, AL                                  1995         7,899        7,427        472      6.0
CN0107700000000   01     077   Lauderdale County, AL                             1995        42,620       40,191      2,429      5.7
CN0107900000000   01     079   Lawrence County, AL                               1995        15,558       14,415      1,143      7.3
CN0108100000000   01     081   Lee County, AL                                    1995        46,515       44,558      1,957      4.2
CN0108300000000   01     083   Limestone County, AL                              1995        26,800       25,477      1,323      4.9
CN0108500000000   01     085   Lowndes County, AL                                1995         4,277        3,591        686     16.0
CN0108700000000   01     087   Macon County, AL                                  1995         8,462        7,762        700      8.3
CN0108900000000   01     089   Madison County, AL                                1995       134,770      128,786      5,984      4.4
CN0109100000000   01     091   Marengo County, AL                                1995        10,792        9,903        889      8.2
CN0109300000000   01     093   Marion County, AL                                 1995        15,626       14,716        910      5.8
CN0109500000000   01     095   Marshall County, AL                               1995        39,422       36,738      2,684      6.8
CN0109700000000   01     097   Mobile County, AL                                 1995       192,514      179,086     13,428      7.0
CN0109900000000   01     099   Monroe County, AL                                 1995        10,538        9,283      1,255     11.9
CN0110100000000   01     101   Montgomery County, AL                             1995       106,792      101,140      5,652      5.3
CN0110300000000   01     103   Morgan County, AL                                 1995        53,360       50,221      3,139      5.9
CN0110500000000   01     105   Perry County, AL                                  1995         4,892        4,062        830     17.0
CN0110700000000   01     107   Pickens County, AL                                1995         8,928        8,145        783      8.8
CN0110900000000   01     109   Pike County, AL                                   1995        13,356       12,560        796      6.0
CN0111100000000   01     111   Randolph County, AL                               1995         9,801        9,067        734      7.5
CN0111300000000   01     113   Russell County, AL                                1995        24,032       22,569      1,463      6.1
CN0111500000000   01     115   St. Clair County, AL                              1995        27,315       26,314      1,001      3.7
CN0111700000000   01     117   Shelby County, AL                                 1995        68,530       66,848      1,682      2.5
CN0111900000000   01     119   Sumter County, AL                                 1995         6,291        5,477        814     12.9
CN0112100000000   01     121   Talladega County, AL                              1995        35,342       32,778      2,564      7.3
CN0112300000000   01     123   Tallapoosa County, AL                             1995        20,231       19,097      1,134      5.6
CN0112500000000   01     125   Tuscaloosa County, AL                             1995        76,333       72,971      3,362      4.4
CN0112700000000   01     127   Walker County, AL                                 1995        30,279       28,062      2,217      7.3
CN0112900000000   01     129   Washington County, AL                             1995         6,385        5,524        861     13.5
CN0113100000000   01     131   Wilcox County, AL                                 1995         3,938        3,323        615     15.6
CN0113300000000   01     133   Winston County, AL                                1995        12,770       11,988        782      6.1
CN0201300000000   02     013   Aleutians East Borough, AK                        1995         1,577        1,522         55      3.5
