                               Labor Force Data by County, 1994 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                1994        18,885       17,940        945      5.0
CN0100300000000   01     003   Baldwin County, AL                                1994        58,092       55,275      2,817      4.8
CN0100500000000   01     005   Barbour County, AL                                1994        12,144       11,366        778      6.4
CN0100700000000   01     007   Bibb County, AL                                   1994         7,748        7,152        596      7.7
CN0100900000000   01     009   Blount County, AL                                 1994        20,334       19,480        854      4.2
CN0101100000000   01     011   Bullock County, AL                                1994         4,277        3,663        614     14.4
CN0101300000000   01     013   Butler County, AL                                 1994         9,565        8,705        860      9.0
CN0101500000000   01     015   Calhoun County, AL                                1994        52,488       48,389      4,099      7.8
CN0101700000000   01     017   Chambers County, AL                               1994        17,053       15,655      1,398      8.2
CN0101900000000   01     019   Cherokee County, AL                               1994        10,006        9,382        624      6.2
CN0102100000000   01     021   Chilton County, AL                                1994        16,979       15,803      1,176      6.9
CN0102300000000   01     023   Choctaw County, AL                                1994         7,079        6,284        795     11.2
CN0102500000000   01     025   Clarke County, AL                                 1994        13,417       12,201      1,216      9.1
CN0102700000000   01     027   Clay County, AL                                   1994         6,536        6,166        370      5.7
CN0102900000000   01     029   Cleburne County, AL                               1994         7,346        7,027        319      4.3
CN0103100000000   01     031   Coffee County, AL                                 1994        21,294       20,254      1,040      4.9
CN0103300000000   01     033   Colbert County, AL                                1994        26,085       24,098      1,987      7.6
CN0103500000000   01     035   Conecuh County, AL                                1994         6,559        5,958        601      9.2
CN0103700000000   01     037   Coosa County, AL                                  1994         5,316        5,031        285      5.4
CN0103900000000   01     039   Covington County, AL                              1994        17,310       16,272      1,038      6.0
CN0104100000000   01     041   Crenshaw County, AL                               1994         5,937        5,584        353      5.9
CN0104300000000   01     043   Cullman County, AL                                1994        36,605       34,730      1,875      5.1
CN0104500000000   01     045   Dale County, AL                                   1994        21,021       19,391      1,630      7.8
CN0104700000000   01     047   Dallas County, AL                                 1994        20,664       18,182      2,482     12.0
CN0104900000000   01     049   DeKalb County, AL                                 1994        30,274       28,597      1,677      5.5
CN0105100000000   01     051   Elmore County, AL                                 1994        25,359       24,152      1,207      4.8
CN0105300000000   01     053   Escambia County, AL                               1994        16,096       14,813      1,283      8.0
CN0105500000000   01     055   Etowah County, AL                                 1994        47,985       44,794      3,191      6.6
CN0105700000000   01     057   Fayette County, AL                                1994         8,823        8,253        570      6.5
CN0105900000000   01     059   Franklin County, AL                               1994        15,581       14,530      1,051      6.7
CN0106100000000   01     061   Geneva County, AL                                 1994        12,816       12,153        663      5.2
CN0106300000000   01     063   Greene County, AL                                 1994         3,704        3,188        516     13.9
CN0106500000000   01     065   Hale County, AL                                   1994         7,216        6,530        686      9.5
CN0106700000000   01     067   Henry County, AL                                  1994         6,416        5,933        483      7.5
CN0106900000000   01     069   Houston County, AL                                1994        42,266       39,735      2,531      6.0
CN0107100000000   01     071   Jackson County, AL                                1994        25,392       22,981      2,411      9.5
CN0107300000000   01     073   Jefferson County, AL                              1994       321,285      306,669     14,616      4.5
CN0107500000000   01     075   Lamar County, AL                                  1994         7,547        7,073        474      6.3
CN0107700000000   01     077   Lauderdale County, AL                             1994        41,420       38,797      2,623      6.3
CN0107900000000   01     079   Lawrence County, AL                               1994        15,148       13,954      1,194      7.9
CN0108100000000   01     081   Lee County, AL                                    1994        45,389       43,459      1,930      4.3
CN0108300000000   01     083   Limestone County, AL                              1994        27,369       25,806      1,563      5.7
CN0108500000000   01     085   Lowndes County, AL                                1994         4,225        3,578        647     15.3
CN0108700000000   01     087   Macon County, AL                                  1994         8,484        7,737        747      8.8
CN0108900000000   01     089   Madison County, AL                                1994       134,299      126,790      7,509      5.6
CN0109100000000   01     091   Marengo County, AL                                1994        10,916        9,860      1,056      9.7
CN0109300000000   01     093   Marion County, AL                                 1994        14,842       13,772      1,070      7.2
CN0109500000000   01     095   Marshall County, AL                               1994        38,287       35,621      2,666      7.0
CN0109700000000   01     097   Mobile County, AL                                 1994       190,859      176,899     13,960      7.3
CN0109900000000   01     099   Monroe County, AL                                 1994        10,244        9,018      1,226     12.0
CN0110100000000   01     101   Montgomery County, AL                             1994       105,610      100,264      5,346      5.1
CN0110300000000   01     103   Morgan County, AL                                 1994        52,386       48,870      3,516      6.7
CN0110500000000   01     105   Perry County, AL                                  1994         4,929        4,188        741     15.0
CN0110700000000   01     107   Pickens County, AL                                1994         9,035        8,267        768      8.5
CN0110900000000   01     109   Pike County, AL                                   1994        13,238       12,479        759      5.7
CN0111100000000   01     111   Randolph County, AL                               1994         9,845        9,165        680      6.9
CN0111300000000   01     113   Russell County, AL                                1994        23,393       21,987      1,406      6.0
