                               Labor Force Data by County, 2014 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2014        25,639       24,150      1,489      5.8
CN0100300000000   01     003   Baldwin County, AL                                2014        86,546       81,265      5,281      6.1
CN0100500000000   01     005   Barbour County, AL                                2014         8,859        7,930        929     10.5
CN0100700000000   01     007   Bibb County, AL                                   2014         8,573        7,959        614      7.2
CN0100900000000   01     009   Blount County, AL                                 2014        24,571       23,074      1,497      6.1
CN0101100000000   01     011   Bullock County, AL                                2014         4,738        4,323        415      8.8
CN0101300000000   01     013   Butler County, AL                                 2014         9,285        8,496        789      8.5
CN0101500000000   01     015   Calhoun County, AL                                2014        47,321       43,562      3,759      7.9
CN0101700000000   01     017   Chambers County, AL                               2014        15,329       14,308      1,021      6.7
CN0101900000000   01     019   Cherokee County, AL                               2014        11,407       10,748        659      5.8
CN0102100000000   01     021   Chilton County, AL                                2014        19,130       17,938      1,192      6.2
CN0102300000000   01     023   Choctaw County, AL                                2014         4,501        4,098        403      9.0
CN0102500000000   01     025   Clarke County, AL                                 2014         8,166        7,177        989     12.1
CN0102700000000   01     027   Clay County, AL                                   2014         5,521        5,128        393      7.1
CN0102900000000   01     029   Cleburne County, AL                               2014         5,864        5,479        385      6.6
CN0103100000000   01     031   Coffee County, AL                                 2014        20,264       18,926      1,338      6.6
CN0103300000000   01     033   Colbert County, AL                                2014        24,069       22,082      1,987      8.3
CN0103500000000   01     035   Conecuh County, AL                                2014         4,724        4,239        485     10.3
CN0103700000000   01     037   Coosa County, AL                                  2014         4,474        4,082        392      8.8
CN0103900000000   01     039   Covington County, AL                              2014        15,940       14,706      1,234      7.7
CN0104100000000   01     041   Crenshaw County, AL                               2014         6,310        5,875        435      6.9
CN0104300000000   01     043   Cullman County, AL                                2014        35,984       33,812      2,172      6.0
CN0104500000000   01     045   Dale County, AL                                   2014        20,351       18,919      1,432      7.0
CN0104700000000   01     047   Dallas County, AL                                 2014        16,026       14,234      1,792     11.2
CN0104900000000   01     049   DeKalb County, AL                                 2014        28,997       27,014      1,983      6.8
CN0105100000000   01     051   Elmore County, AL                                 2014        36,610       34,530      2,080      5.7
CN0105300000000   01     053   Escambia County, AL                               2014        14,389       13,244      1,145      8.0
CN0105500000000   01     055   Etowah County, AL                                 2014        43,798       40,729      3,069      7.0
CN0105700000000   01     057   Fayette County, AL                                2014         6,359        5,863        496      7.8
CN0105900000000   01     059   Franklin County, AL                               2014        13,737       12,681      1,056      7.7
CN0106100000000   01     061   Geneva County, AL                                 2014        10,813       10,093        720      6.7
CN0106300000000   01     063   Greene County, AL                                 2014         2,990        2,619        371     12.4
CN0106500000000   01     065   Hale County, AL                                   2014         6,041        5,448        593      9.8
CN0106700000000   01     067   Henry County, AL                                  2014         6,788        6,281        507      7.5
CN0106900000000   01     069   Houston County, AL                                2014        45,224       42,172      3,052      6.7
CN0107100000000   01     071   Jackson County, AL                                2014        23,489       21,792      1,697      7.2
CN0107300000000   01     073   Jefferson County, AL                              2014       312,706      293,144     19,562      6.3
CN0107500000000   01     075   Lamar County, AL                                  2014         5,634        5,244        390      6.9
CN0107700000000   01     077   Lauderdale County, AL                             2014        43,551       40,434      3,117      7.2
CN0107900000000   01     079   Lawrence County, AL                               2014        14,046       12,896      1,150      8.2
CN0108100000000   01     081   Lee County, AL                                    2014        71,478       67,506      3,972      5.6
CN0108300000000   01     083   Limestone County, AL                              2014        39,648       37,244      2,404      6.1
CN0108500000000   01     085   Lowndes County, AL                                2014         3,879        3,384        495     12.8
CN0108700000000   01     087   Macon County, AL                                  2014         8,250        7,502        748      9.1
CN0108900000000   01     089   Madison County, AL                                2014       170,377      159,923     10,454      6.1
CN0109100000000   01     091   Marengo County, AL                                2014         7,636        7,031        605      7.9
CN0109300000000   01     093   Marion County, AL                                 2014        12,311       11,342        969      7.9
CN0109500000000   01     095   Marshall County, AL                               2014        39,974       37,321      2,653      6.6
CN0109700000000   01     097   Mobile County, AL                                 2014       185,640      171,332     14,308      7.7
CN0109900000000   01     099   Monroe County, AL                                 2014         7,625        6,787        838     11.0
CN0110100000000   01     101   Montgomery County, AL                             2014       105,193       98,012      7,181      6.8
CN0110300000000   01     103   Morgan County, AL                                 2014        56,135       52,450      3,685      6.6
CN0110500000000   01     105   Perry County, AL                                  2014         3,494        3,073        421     12.0
CN0110700000000   01     107   Pickens County, AL                                2014         7,770        7,139        631      8.1
CN0110900000000   01     109   Pike County, AL                                   2014        14,975       13,877      1,098      7.3
CN0111100000000   01     111   Randolph County, AL                               2014         9,291        8,669        622      6.7
CN0111300000000   01     113   Russell County, AL                                2014        24,812       23,197      1,615      6.5
CN0111500000000   01     115   St. Clair County, AL                              2014        38,577       36,367      2,210      5.7
CN0111700000000   01     117   Shelby County, AL                                 2014       107,413      102,624      4,789      4.5
CN0111900000000   01     119   Sumter County, AL                                 2014         5,381        4,927        454      8.4
