                               Labor Force Data by County, 2011 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2011        25,845       23,688      2,157      8.3
CN0100300000000   01     003   Baldwin County, AL                                2011        85,077       77,459      7,618      9.0
CN0100500000000   01     005   Barbour County, AL                                2011         9,843        8,716      1,127     11.4
CN0100700000000   01     007   Bibb County, AL                                   2011         8,932        8,000        932     10.4
CN0100900000000   01     009   Blount County, AL                                 2011        25,124       22,951      2,173      8.6
CN0101100000000   01     011   Bullock County, AL                                2011         4,829        4,274        555     11.5
CN0101300000000   01     013   Butler County, AL                                 2011         9,180        8,046      1,134     12.4
CN0101500000000   01     015   Calhoun County, AL                                2011        51,271       45,986      5,285     10.3
CN0101700000000   01     017   Chambers County, AL                               2011        15,185       13,386      1,799     11.8
CN0101900000000   01     019   Cherokee County, AL                               2011        11,473       10,369      1,104      9.6
CN0102100000000   01     021   Chilton County, AL                                2011        19,536       17,761      1,775      9.1
CN0102300000000   01     023   Choctaw County, AL                                2011         4,760        4,140        620     13.0
CN0102500000000   01     025   Clarke County, AL                                 2011         8,827        7,185      1,642     18.6
CN0102700000000   01     027   Clay County, AL                                   2011         5,593        4,937        656     11.7
CN0102900000000   01     029   Cleburne County, AL                               2011         5,939        5,367        572      9.6
CN0103100000000   01     031   Coffee County, AL                                 2011        20,745       19,068      1,677      8.1
CN0103300000000   01     033   Colbert County, AL                                2011        24,385       21,915      2,470     10.1
CN0103500000000   01     035   Conecuh County, AL                                2011         4,778        4,059        719     15.0
CN0103700000000   01     037   Coosa County, AL                                  2011         4,472        3,920        552     12.3
CN0103900000000   01     039   Covington County, AL                              2011        16,372       14,772      1,600      9.8
CN0104100000000   01     041   Crenshaw County, AL                               2011         6,432        5,801        631      9.8
CN0104300000000   01     043   Cullman County, AL                                2011        35,673       32,295      3,378      9.5
CN0104500000000   01     045   Dale County, AL                                   2011        22,020       20,197      1,823      8.3
CN0104700000000   01     047   Dallas County, AL                                 2011        17,493       14,874      2,619     15.0
CN0104900000000   01     049   DeKalb County, AL                                 2011        29,778       26,292      3,486     11.7
CN0105100000000   01     051   Elmore County, AL                                 2011        36,611       33,538      3,073      8.4
CN0105300000000   01     053   Escambia County, AL                               2011        14,967       13,361      1,606     10.7
CN0105500000000   01     055   Etowah County, AL                                 2011        44,723       40,258      4,465     10.0
CN0105700000000   01     057   Fayette County, AL                                2011         6,627        5,899        728     11.0
CN0105900000000   01     059   Franklin County, AL                               2011        14,351       12,992      1,359      9.5
CN0106100000000   01     061   Geneva County, AL                                 2011        11,485       10,434      1,051      9.2
