                               Labor Force Data by County, 1997 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                1997        21,087       20,269        818      3.9
CN0100300000000   01     003   Baldwin County, AL                                1997        67,122       64,800      2,322      3.5
CN0100500000000   01     005   Barbour County, AL                                1997        12,473       11,566        907      7.3
CN0100700000000   01     007   Bibb County, AL                                   1997         8,032        7,437        595      7.4
CN0100900000000   01     009   Blount County, AL                                 1997        22,676       22,003        673      3.0
CN0101100000000   01     011   Bullock County, AL                                1997         4,580        4,108        472     10.3
CN0101300000000   01     013   Butler County, AL                                 1997         9,908        8,940        968      9.8
CN0101500000000   01     015   Calhoun County, AL                                1997        54,204       51,235      2,969      5.5
CN0101700000000   01     017   Chambers County, AL                               1997        17,023       16,245        778      4.6
CN0101900000000   01     019   Cherokee County, AL                               1997        10,731       10,298        433      4.0
CN0102100000000   01     021   Chilton County, AL                                1997        18,246       17,360        886      4.9
CN0102300000000   01     023   Choctaw County, AL                                1997         5,975        5,114        861     14.4
CN0102500000000   01     025   Clarke County, AL                                 1997        14,567       13,147      1,420      9.7
CN0102700000000   01     027   Clay County, AL                                   1997         6,700        6,398        302      4.5
CN0102900000000   01     029   Cleburne County, AL                               1997         7,267        7,013        254      3.5
CN0103100000000   01     031   Coffee County, AL                                 1997        21,997       21,127        870      4.0
CN0103300000000   01     033   Colbert County, AL                                1997        27,040       25,117      1,923      7.1
CN0103500000000   01     035   Conecuh County, AL                                1997         6,751        6,051        700     10.4
CN0103700000000   01     037   Coosa County, AL                                  1997         5,317        5,086        231      4.3
CN0103900000000   01     039   Covington County, AL                              1997        17,656       16,469      1,187      6.7
CN0104100000000   01     041   Crenshaw County, AL                               1997         5,925        5,442        483      8.2
CN0104300000000   01     043   Cullman County, AL                                1997        38,559       36,970      1,589      4.1
CN0104500000000   01     045   Dale County, AL                                   1997        21,196       20,044      1,152      5.4
CN0104700000000   01     047   Dallas County, AL                                 1997        20,216       18,010      2,206     10.9
CN0104900000000   01     049   DeKalb County, AL                                 1997        32,149       30,498      1,651      5.1
CN0105100000000   01     051   Elmore County, AL                                 1997        28,467       27,449      1,018      3.6
CN0105300000000   01     053   Escambia County, AL                               1997        16,882       15,788      1,094      6.5
CN0105500000000   01     055   Etowah County, AL                                 1997        49,420       46,922      2,498      5.1
CN0105700000000   01     057   Fayette County, AL                                1997         8,637        8,219        418      4.8
CN0105900000000   01     059   Franklin County, AL                               1997        16,822       15,422      1,400      8.3
CN0106100000000   01     061   Geneva County, AL                                 1997        12,037       11,338        699      5.8
CN0106300000000   01     063   Greene County, AL                                 1997         3,499        2,855        644     18.4
CN0106500000000   01     065   Hale County, AL                                   1997         7,385        6,823        562      7.6
CN0106700000000   01     067   Henry County, AL                                  1997         6,452        6,088        364      5.6
CN0106900000000   01     069   Houston County, AL                                1997        44,520       42,578      1,942      4.4
CN0107100000000   01     071   Jackson County, AL                                1997        25,986       23,885      2,101      8.1
CN0107300000000   01     073   Jefferson County, AL                              1997       333,350      321,345     12,005      3.6
CN0107500000000   01     075   Lamar County, AL                                  1997         7,754        7,106        648      8.4
CN0107700000000   01     077   Lauderdale County, AL                             1997        43,151       40,531      2,620      6.1
CN0107900000000   01     079   Lawrence County, AL                               1997        16,118       15,060      1,058      6.6
CN0108100000000   01     081   Lee County, AL                                    1997        49,600       47,760      1,840      3.7
CN0108300000000   01     083   Limestone County, AL                              1997        28,279       27,168      1,111      3.9
CN0108500000000   01     085   Lowndes County, AL                                1997         4,324        3,711        613     14.2
CN0108700000000   01     087   Macon County, AL                                  1997         8,021        7,383        638      8.0
CN0108900000000   01     089   Madison County, AL                                1997       139,249      135,263      3,986      2.9
CN0109100000000   01     091   Marengo County, AL                                1997        10,977        9,887      1,090      9.9
CN0109300000000   01     093   Marion County, AL                                 1997        16,106       14,820      1,286      8.0
CN0109500000000   01     095   Marshall County, AL                               1997        40,383       38,174      2,209      5.5
CN0109700000000   01     097   Mobile County, AL                                 1997       197,841      187,480     10,361      5.2
CN0109900000000   01     099   Monroe County, AL                                 1997        10,212        8,685      1,527     15.0
CN0110100000000   01     101   Montgomery County, AL                             1997       109,793      105,065      4,728      4.3
CN0110300000000   01     103   Morgan County, AL                                 1997        54,989       52,420      2,569      4.7
CN0110500000000   01     105   Perry County, AL                                  1997         4,498        4,045        453     10.1
CN0110700000000   01     107   Pickens County, AL                                1997         8,815        8,131        684      7.8
CN0110900000000   01     109   Pike County, AL                                   1997        13,427       12,538        889      6.6
CN0111100000000   01     111   Randolph County, AL                               1997         9,511        9,073        438      4.6
CN0111300000000   01     113   Russell County, AL                                1997        25,206       24,073      1,133      4.5
CN0111500000000   01     115   St. Clair County, AL                              1997        29,769       28,786        983      3.3
CN0111700000000   01     117   Shelby County, AL                                 1997        76,489       75,105      1,384      1.8
CN0111900000000   01     119   Sumter County, AL                                 1997         6,078        5,337        741     12.2
CN0112100000000   01     121   Talladega County, AL                              1997        35,379       33,009      2,370      6.7
CN0112300000000   01     123   Tallapoosa County, AL                             1997        20,488       19,442      1,046      5.1
CN0112500000000   01     125   Tuscaloosa County, AL                             1997        81,314       78,651      2,663      3.3
CN0112700000000   01     127   Walker County, AL                                 1997        30,133       27,780      2,353      7.8
CN0112900000000   01     129   Washington County, AL                             1997         6,474        5,622        852     13.2
CN0113100000000   01     131   Wilcox County, AL                                 1997         3,902        3,355        547     14.0
CN0113300000000   01     133   Winston County, AL                                1997        13,163       12,175        988      7.5
CN0201300000000   02     013   Aleutians East Borough, AK                        1997         1,569        1,514         55      3.5
CN0201600000000   02     016   Aleutians West Census Area, AK                    1997         2,256        2,132        124      5.5
CN0202000000000   02     020   Anchorage Borough/municipality, AK                1997       137,247      130,280      6,967      5.1
CN0205000000000   02     050   Bethel Census Area, AK                            1997         5,813        5,353        460      7.9
CN0206000000000   02     060   Bristol Bay Borough, AK                           1997           595          552         43      7.2
CN0206800000000   02     068   Denali Borough, AK                                1997         1,225        1,101        124     10.1
CN0207000000000   02     070   Dillingham Census Area, AK                        1997         1,667        1,559        108      6.5
CN0209000000000   02     090   Fairbanks North Star Borough, AK                  1997        43,290       40,411      2,879      6.7
CN0210000000000   02     100   Haines Borough, AK                                1997         1,195        1,071        124     10.4
CN0211000000000   02     110   Juneau Borough/city, AK                           1997        17,293       16,335        958      5.5
CN0212200000000   02     122   Kenai Peninsula Borough, AK                       1997        21,960       19,330      2,630     12.0
CN0213000000000   02     130   Ketchikan Gateway Borough, AK                     1997         7,581        6,948        633      8.3
CN0215000000000   02     150   Kodiak Island Borough, AK                         1997         7,324        6,684        640      8.7
CN0215800000000   02     158   Kusilvak Census Area, AK                          1997         1,954        1,738        216     11.1
CN0216400000000   02     164   Lake and Peninsula Borough, AK                    1997           566          529         37      6.5
CN0217000000000   02     170   Matanuska-Susitna Borough, AK                     1997        28,067       25,473      2,594      9.2
CN0218000000000   02     180   Nome Census Area, AK                              1997         3,296        2,952        344     10.4
