                               Labor Force Data by County, 1999 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                1999        22,533       21,678        855      3.8
CN0100300000000   01     003   Baldwin County, AL                                1999        71,240       68,880      2,360      3.3
CN0100500000000   01     005   Barbour County, AL                                1999        13,423       12,779        644      4.8
CN0100700000000   01     007   Bibb County, AL                                   1999         7,217        6,726        491      6.8
CN0100900000000   01     009   Blount County, AL                                 1999        24,079       23,407        672      2.8
CN0101100000000   01     011   Bullock County, AL                                1999         4,473        4,028        445      9.9
CN0101300000000   01     013   Butler County, AL                                 1999         9,908        8,560      1,348     13.6
CN0101500000000   01     015   Calhoun County, AL                                1999        54,606       51,831      2,775      5.1
CN0101700000000   01     017   Chambers County, AL                               1999        16,522       15,749        773      4.7
CN0101900000000   01     019   Cherokee County, AL                               1999        10,222        9,720        502      4.9
CN0102100000000   01     021   Chilton County, AL                                1999        18,691       17,981        710      3.8
CN0102300000000   01     023   Choctaw County, AL                                1999         5,828        5,295        533      9.1
CN0102500000000   01     025   Clarke County, AL                                 1999        13,637       12,470      1,167      8.6
CN0102700000000   01     027   Clay County, AL                                   1999         6,653        6,293        360      5.4
CN0102900000000   01     029   Cleburne County, AL                               1999         7,263        6,951        312      4.3
CN0103100000000   01     031   Coffee County, AL                                 1999        21,986       20,951      1,035      4.7
CN0103300000000   01     033   Colbert County, AL                                1999        25,466       23,648      1,818      7.1
CN0103500000000   01     035   Conecuh County, AL                                1999         5,927        5,376        551      9.3
CN0103700000000   01     037   Coosa County, AL                                  1999         5,293        5,000        293      5.5
CN0103900000000   01     039   Covington County, AL                              1999        17,140       15,741      1,399      8.2
CN0104100000000   01     041   Crenshaw County, AL                               1999         5,411        4,812        599     11.1
CN0104300000000   01     043   Cullman County, AL                                1999        39,673       38,123      1,550      3.9
CN0104500000000   01     045   Dale County, AL                                   1999        21,361       20,331      1,030      4.8
CN0104700000000   01     047   Dallas County, AL                                 1999        19,693       17,546      2,147     10.9
CN0104900000000   01     049   DeKalb County, AL                                 1999        32,623       31,353      1,270      3.9
CN0105100000000   01     051   Elmore County, AL                                 1999        30,652       29,632      1,020      3.3
CN0105300000000   01     053   Escambia County, AL                               1999        16,536       15,488      1,048      6.3
CN0105500000000   01     055   Etowah County, AL                                 1999        49,659       46,219      3,440      6.9
CN0105700000000   01     057   Fayette County, AL                                1999         7,884        7,121        763      9.7
CN0105900000000   01     059   Franklin County, AL                               1999        16,904       15,666      1,238      7.3
