                               Labor Force Data by County, 2009 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2009        24,660       22,464      2,196      8.9
CN0100300000000   01     003   Baldwin County, AL                                2009        82,314       74,950      7,364      8.9
CN0100500000000   01     005   Barbour County, AL                                2009         9,944        8,635      1,309     13.2
CN0100700000000   01     007   Bibb County, AL                                   2009         8,696        7,637      1,059     12.2
CN0100900000000   01     009   Blount County, AL                                 2009        26,426       24,005      2,421      9.2
CN0101100000000   01     011   Bullock County, AL                                2009         3,713        3,179        534     14.4
CN0101300000000   01     013   Butler County, AL                                 2009         9,033        7,671      1,362     15.1
CN0101500000000   01     015   Calhoun County, AL                                2009        53,760       48,278      5,482     10.2
CN0101700000000   01     017   Chambers County, AL                               2009        14,487       11,863      2,624     18.1
CN0101900000000   01     019   Cherokee County, AL                               2009        11,715       10,460      1,255     10.7
CN0102100000000   01     021   Chilton County, AL                                2009        19,393       17,501      1,892      9.8
CN0102300000000   01     023   Choctaw County, AL                                2009         5,106        4,474        632     12.4
CN0102500000000   01     025   Clarke County, AL                                 2009        10,298        8,728      1,570     15.2
CN0102700000000   01     027   Clay County, AL                                   2009         5,596        4,737        859     15.4
CN0102900000000   01     029   Cleburne County, AL                               2009         6,499        5,893        606      9.3
CN0103100000000   01     031   Coffee County, AL                                 2009        21,423       19,755      1,668      7.8
CN0103300000000   01     033   Colbert County, AL                                2009        25,324       22,625      2,699     10.7
CN0103500000000   01     035   Conecuh County, AL                                2009         4,853        3,959        894     18.4
CN0103700000000   01     037   Coosa County, AL                                  2009         4,557        3,884        673     14.8
CN0103900000000   01     039   Covington County, AL                              2009        16,672       15,021      1,651      9.9
CN0104100000000   01     041   Crenshaw County, AL                               2009         6,424        5,810        614      9.6
CN0104300000000   01     043   Cullman County, AL                                2009        38,449       34,838      3,611      9.4
CN0104500000000   01     045   Dale County, AL                                   2009        20,000       18,232      1,768      8.8
CN0104700000000   01     047   Dallas County, AL                                 2009        15,671       12,607      3,064     19.6
CN0104900000000   01     049   DeKalb County, AL                                 2009        29,733       25,834      3,899     13.1
CN0105100000000   01     051   Elmore County, AL                                 2009        36,337       33,185      3,152      8.7
CN0105300000000   01     053   Escambia County, AL                               2009        14,683       12,863      1,820     12.4
CN0105500000000   01     055   Etowah County, AL                                 2009        44,839       40,128      4,711     10.5
CN0105700000000   01     057   Fayette County, AL                                2009         6,930        6,037        893     12.9
CN0105900000000   01     059   Franklin County, AL                               2009        13,171       11,547      1,624     12.3
CN0106100000000   01     061   Geneva County, AL                                 2009        11,143       10,043      1,100      9.9
CN0106300000000   01     063   Greene County, AL                                 2009         3,110        2,672        438     14.1
CN0106500000000   01     065   Hale County, AL                                   2009         6,828        5,933        895     13.1
CN0106700000000   01     067   Henry County, AL                                  2009         7,109        6,380        729     10.3
CN0106900000000   01     069   Houston County, AL                                2009        45,841       41,941      3,900      8.5
CN0107100000000   01     071   Jackson County, AL                                2009        26,247       23,173      3,074     11.7
CN0107300000000   01     073   Jefferson County, AL                              2009       306,180      276,008     30,172      9.9
CN0107500000000   01     075   Lamar County, AL                                  2009         5,503        4,692        811     14.7
CN0107700000000   01     077   Lauderdale County, AL                             2009        43,319       39,087      4,232      9.8
CN0107900000000   01     079   Lawrence County, AL                               2009        15,702       13,734      1,968     12.5
CN0108100000000   01     081   Lee County, AL                                    2009        64,799       59,215      5,584      8.6
CN0108300000000   01     083   Limestone County, AL                              2009        38,219       34,795      3,424      9.0
CN0108500000000   01     085   Lowndes County, AL                                2009         4,867        3,999        868     17.8
CN0108700000000   01     087   Macon County, AL                                  2009         9,308        8,263      1,045     11.2
CN0108900000000   01     089   Madison County, AL                                2009       168,854      156,443     12,411      7.4
CN0109100000000   01     091   Marengo County, AL                                2009         8,052        7,000      1,052     13.1
CN0109300000000   01     093   Marion County, AL                                 2009        12,259       10,386      1,873     15.3
CN0109500000000   01     095   Marshall County, AL                               2009        40,653       36,871      3,782      9.3
CN0109700000000   01     097   Mobile County, AL                                 2009       186,230      166,932     19,298     10.4
CN0109900000000   01     099   Monroe County, AL                                 2009         8,573        7,029      1,544     18.0
CN0110100000000   01     101   Montgomery County, AL                             2009       104,848       94,765     10,083      9.6
CN0110300000000   01     103   Morgan County, AL                                 2009        56,231       50,661      5,570      9.9
CN0110500000000   01     105   Perry County, AL                                  2009         3,727        3,043        684     18.4
CN0110700000000   01     107   Pickens County, AL                                2009         7,997        6,992      1,005     12.6
CN0110900000000   01     109   Pike County, AL                                   2009        15,777       14,404      1,373      8.7
CN0111100000000   01     111   Randolph County, AL                               2009         9,354        8,072      1,282     13.7
CN0111300000000   01     113   Russell County, AL                                2009        21,477       19,041      2,436     11.3
CN0111500000000   01     115   St. Clair County, AL                              2009        36,664       33,003      3,661     10.0
CN0111700000000   01     117   Shelby County, AL                                 2009        99,778       92,685      7,093      7.1
CN0111900000000   01     119   Sumter County, AL                                 2009         4,730        4,081        649     13.7
CN0112100000000   01     121   Talladega County, AL                              2009        37,552       32,583      4,969     13.2
CN0112300000000   01     123   Tallapoosa County, AL                             2009        18,055       15,801      2,254     12.5
CN0112500000000   01     125   Tuscaloosa County, AL                             2009        88,900       80,625      8,275      9.3
CN0112700000000   01     127   Walker County, AL                                 2009        28,095       25,092      3,003     10.7
CN0112900000000   01     129   Washington County, AL                             2009         6,889        5,933        956     13.9
CN0113100000000   01     131   Wilcox County, AL                                 2009         3,586        2,717        869     24.2
CN0113300000000   01     133   Winston County, AL                                2009         9,433        7,890      1,543     16.4
CN0201300000000   02     013   Aleutians East Borough, AK                        2009         1,133        1,018        115     10.2
CN0201600000000   02     016   Aleutians West Census Area, AK                    2009         3,002        2,785        217      7.2
CN0202000000000   02     020   Anchorage Borough/municipality, AK                2009       153,655      143,338     10,317      6.7
CN0205000000000   02     050   Bethel Census Area, AK                            2009         7,039        6,019      1,020     14.5
CN0206000000000   02     060   Bristol Bay Borough, AK                           2009         1,043          992         51      4.9
CN0206800000000   02     068   Denali Borough, AK                                2009         1,411        1,291        120      8.5
CN0207000000000   02     070   Dillingham Census Area, AK                        2009         2,152        1,927        225     10.5
CN0209000000000   02     090   Fairbanks North Star Borough, AK                  2009        45,971       42,618      3,353      7.3
CN0210000000000   02     100   Haines Borough, AK                                2009         1,416        1,284        132      9.3
CN0211000000000   02     110   Juneau Borough/city, AK                           2009        18,369       17,253      1,116      6.1
CN0212200000000   02     122   Kenai Peninsula Borough, AK                       2009        26,907       24,189      2,718     10.1
CN0213000000000   02     130   Ketchikan Gateway Borough, AK                     2009         8,324        7,713        611      7.3
CN0215000000000   02     150   Kodiak Island Borough, AK                         2009         6,598        6,112        486      7.4
CN0215800000000   02     158   Kusilvak Census Area, AK                          2009         2,705        2,128        577     21.3
CN0216400000000   02     164   Lake and Peninsula Borough, AK                    2009         1,088          997         91      8.4
CN0217000000000   02     170   Matanuska-Susitna Borough, AK                     2009        42,473       38,588      3,885      9.1
CN0218000000000   02     180   Nome Census Area, AK                              2009         3,970        3,494        476     12.0
CN0218500000000   02     185   North Slope Borough, AK                           2009         5,295        5,037        258      4.9
CN0218800000000   02     188   Northwest Arctic Borough, AK                      2009         2,989        2,623        366     12.2
CN0220100000000   02     201   Prince of Wales-Outer Ketchikan Census Area, AK   2009         2,389        2,015        374     15.7
CN0222000000000   02     220   Sitka Borough/city, AK                            2009         4,641        4,343        298      6.4
CN0223200000000   02     232   Skagway-Hoonah-Angoon Census Area, AK             2009         1,798        1,527        271     15.1
CN0224000000000   02     240   Southeast Fairbanks Census Area, AK               2009         3,612        3,254        358      9.9
CN0226100000000   02     261   Valdez-Cordova Census Area, AK                    2009         5,338        4,872        466      8.7
CN0228000000000   02     280   Wrangell-Petersburg Census Area, AK               2009         2,870        2,563        307     10.7
CN0228200000000   02     282   Yakutat Borough/city, AK                          2009           314          277         37     11.8
CN0229000000000   02     290   Yukon-Koyukuk Census Area, AK                     2009         2,879        2,463        416     14.4
CN0400100000000   04     001   Apache County, AZ                                 2009        22,905       19,380      3,525     15.4
CN0400300000000   04     003   Cochise County, AZ                                2009        63,101       58,204      4,897      7.8
CN0400500000000   04     005   Coconino County, AZ                               2009        74,852       68,643      6,209      8.3
CN0400700000000   04     007   Gila County, AZ                                   2009        23,272       20,694      2,578     11.1
CN0400900000000   04     009   Graham County, AZ                                 2009        15,229       12,993      2,236     14.7
CN0401100000000   04     011   Greenlee County, AZ                               2009         4,387        3,576        811     18.5
CN0401200000000   04     012   La Paz County, AZ                                 2009         7,705        6,963        742      9.6
CN0401300000000   04     013   Maricopa County, AZ                               2009     1,967,563    1,792,986    174,577      8.9
CN0401500000000   04     015   Mohave County, AZ                                 2009        91,543       81,375     10,168     11.1
CN0401700000000   04     017   Navajo County, AZ                                 2009        41,145       35,002      6,143     14.9
CN0401900000000   04     019   Pima County, AZ                                   2009       486,097      443,226     42,871      8.8
CN0402100000000   04     021   Pinal County, AZ                                  2009       126,725      111,541     15,184     12.0
CN0402300000000   04     023   Santa Cruz County, AZ                             2009        18,564       15,704      2,860     15.4
CN0402500000000   04     025   Yavapai County, AZ                                2009        98,321       88,310     10,011     10.2
CN0402700000000   04     027   Yuma County, AZ                                   2009        87,485       67,830     19,655     22.5
CN0500100000000   05     001   Arkansas County, AR                               2009        12,240       10,347      1,893     15.5
CN0500300000000   05     003   Ashley County, AR                                 2009         9,302        8,334        968     10.4
CN0500500000000   05     005   Baxter County, AR                                 2009        17,254       15,669      1,585      9.2
CN0500700000000   05     007   Benton County, AR                                 2009       107,277      100,476      6,801      6.3
CN0500900000000   05     009   Boone County, AR                                  2009        16,919       15,666      1,253      7.4
CN0501100000000   05     011   Bradley County, AR                                2009         5,461        4,936        525      9.6
CN0501300000000   05     013   Calhoun County, AR                                2009         2,572        2,358        214      8.3
CN0501500000000   05     015   Carroll County, AR                                2009        13,961       13,122        839      6.0
CN0501700000000   05     017   Chicot County, AR                                 2009         4,851        4,318        533     11.0
CN0501900000000   05     019   Clark County, AR                                  2009        10,737        9,880        857      8.0
CN0502100000000   05     021   Clay County, AR                                   2009         6,640        5,897        743     11.2
