                               Labor Force Data by County, 2021 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2021        26,545       25,809        736      2.8
CN0100300000000   01     003   Baldwin County, AL                                2021        99,953       97,034      2,919      2.9
CN0100500000000   01     005   Barbour County, AL                                2021         8,280        7,821        459      5.5
CN0100700000000   01     007   Bibb County, AL                                   2021         8,641        8,347        294      3.4
CN0100900000000   01     009   Blount County, AL                                 2021        25,377       24,779        598      2.4
CN0101100000000   01     011   Bullock County, AL                                2021         4,637        4,455        182      3.9
CN0101300000000   01     013   Butler County, AL                                 2021         8,819        8,367        452      5.1
CN0101500000000   01     015   Calhoun County, AL                                2021        46,368       44,497      1,871      4.0
CN0101700000000   01     017   Chambers County, AL                               2021        15,790       15,220        570      3.6
CN0101900000000   01     019   Cherokee County, AL                               2021        11,686       11,390        296      2.5
CN0102100000000   01     021   Chilton County, AL                                2021        20,004       19,443        561      2.8
CN0102300000000   01     023   Choctaw County, AL                                2021         4,567        4,370        197      4.3
CN0102500000000   01     025   Clarke County, AL                                 2021         7,736        7,286        450      5.8
CN0102700000000   01     027   Clay County, AL                                   2021         6,048        5,884        164      2.7
CN0102900000000   01     029   Cleburne County, AL                               2021         5,913        5,761        152      2.6
CN0103100000000   01     031   Coffee County, AL                                 2021        21,624       21,017        607      2.8
CN0103300000000   01     033   Colbert County, AL                                2021        23,609       22,690        919      3.9
CN0103500000000   01     035   Conecuh County, AL                                2021         4,390        4,182        208      4.7
CN0103700000000   01     037   Coosa County, AL                                  2021         4,371        4,238        133      3.0
CN0103900000000   01     039   Covington County, AL                              2021        15,233       14,775        458      3.0
CN0104100000000   01     041   Crenshaw County, AL                               2021         6,131        5,929        202      3.3
CN0104300000000   01     043   Cullman County, AL                                2021        38,931       38,020        911      2.3
CN0104500000000   01     045   Dale County, AL                                   2021        20,974       20,315        659      3.1
CN0104700000000   01     047   Dallas County, AL                                 2021        13,965       12,977        988      7.1
CN0104900000000   01     049   DeKalb County, AL                                 2021        31,002       30,215        787      2.5
CN0105100000000   01     051   Elmore County, AL                                 2021        37,873       36,860      1,013      2.7
CN0105300000000   01     053   Escambia County, AL                               2021        14,142       13,576        566      4.0
CN0105500000000   01     055   Etowah County, AL                                 2021        39,439       37,863      1,576      4.0
CN0105700000000   01     057   Fayette County, AL                                2021         6,642        6,439        203      3.1
CN0105900000000   01     059   Franklin County, AL                               2021        14,352       13,990        362      2.5
CN0106100000000   01     061   Geneva County, AL                                 2021        11,069       10,762        307      2.8
CN0106300000000   01     063   Greene County, AL                                 2021         2,900        2,711        189      6.5
CN0106500000000   01     065   Hale County, AL                                   2021         5,913        5,589        324      5.5
CN0106700000000   01     067   Henry County, AL                                  2021         6,930        6,711        219      3.2
CN0106900000000   01     069   Houston County, AL                                2021        47,193       45,617      1,576      3.3
CN0107100000000   01     071   Jackson County, AL                                2021        23,072       22,415        657      2.8
CN0107300000000   01     073   Jefferson County, AL                              2021       320,324      308,963     11,361      3.5
CN0107500000000   01     075   Lamar County, AL                                  2021         5,708        5,538        170      3.0
CN0107700000000   01     077   Lauderdale County, AL                             2021        42,365       41,045      1,320      3.1
CN0107900000000   01     079   Lawrence County, AL                               2021        14,503       14,085        418      2.9
CN0108100000000   01     081   Lee County, AL                                    2021        77,205       75,043      2,162      2.8
CN0108300000000   01     083   Limestone County, AL                              2021        46,983       45,845      1,138      2.4
CN0108500000000   01     085   Lowndes County, AL                                2021         3,586        3,275        311      8.7
CN0108700000000   01     087   Macon County, AL                                  2021         7,937        7,478        459      5.8
CN0108900000000   01     089   Madison County, AL                                2021       193,877      188,817      5,060      2.6
CN0109100000000   01     091   Marengo County, AL                                2021         7,643        7,323        320      4.2
CN0109300000000   01     093   Marion County, AL                                 2021        13,488       13,111        377      2.8
CN0109500000000   01     095   Marshall County, AL                               2021        44,898       43,831      1,067      2.4
CN0109700000000   01     097   Mobile County, AL                                 2021       190,714      181,908      8,806      4.6
CN0109900000000   01     099   Monroe County, AL                                 2021         7,368        6,963        405      5.5
CN0110100000000   01     101   Montgomery County, AL                             2021       107,330      102,321      5,009      4.7
CN0110300000000   01     103   Morgan County, AL                                 2021        59,785       58,258      1,527      2.6
CN0110500000000   01     105   Perry County, AL                                  2021         3,206        2,953        253      7.9
CN0110700000000   01     107   Pickens County, AL                                2021         7,545        7,242        303      4.0
CN0110900000000   01     109   Pike County, AL                                   2021        16,084       15,575        509      3.2
CN0111100000000   01     111   Randolph County, AL                               2021         9,490        9,232        258      2.7
CN0111300000000   01     113   Russell County, AL                                2021        23,440       22,726        714      3.0
CN0111500000000   01     115   St. Clair County, AL                              2021        41,602       40,523      1,079      2.6
CN0111700000000   01     117   Shelby County, AL                                 2021       119,405      116,886      2,519      2.1
CN0111900000000   01     119   Sumter County, AL                                 2021         4,549        4,349        200      4.4
CN0112100000000   01     121   Talladega County, AL                              2021        35,915       34,460      1,455      4.1
CN0112300000000   01     123   Tallapoosa County, AL                             2021        17,982       17,271        711      4.0
CN0112500000000   01     125   Tuscaloosa County, AL                             2021       101,686       98,093      3,593      3.5
CN0112700000000   01     127   Walker County, AL                                 2021        25,324       24,423        901      3.6
CN0112900000000   01     129   Washington County, AL                             2021         6,547        6,248        299      4.6
CN0113100000000   01     131   Wilcox County, AL                                 2021         2,631        2,356        275     10.5
CN0113300000000   01     133   Winston County, AL                                2021        10,116        9,838        278      2.7
CN0201300000000   02     013   Aleutians East Borough, AK                        2021         2,443        2,382         61      2.5
CN0201600000000   02     016   Aleutians West Census Area, AK                    2021         3,516        3,381        135      3.8
CN0202000000000   02     020   Anchorage Borough/municipality, AK                2021       149,953      141,113      8,840      5.9
CN0205000000000   02     050   Bethel Census Area, AK                            2021         6,884        5,984        900     13.1
CN0206000000000   02     060   Bristol Bay Borough, AK                           2021           446          421         25      5.6
CN0206300000000   02     063   Chugach Census Area, AK                           2021         3,179        3,100         79      2.5
CN0206600000000   02     066   Copper River Census Area, AK                      2021         1,246        1,205         41      3.3
CN0206800000000   02     068   Denali Borough, AK                                2021           811          726         85     10.5
CN0207000000000   02     070   Dillingham Census Area, AK                        2021         1,688        1,548        140      8.3
