                               Labor Force Data by County, 2002 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2002        22,161       21,096      1,065      4.8
CN0100300000000   01     003   Baldwin County, AL                                2002        69,379       65,881      3,498      5.0
CN0100500000000   01     005   Barbour County, AL                                2002        11,006       10,154        852      7.7
CN0100700000000   01     007   Bibb County, AL                                   2002         8,961        8,333        628      7.0
CN0100900000000   01     009   Blount County, AL                                 2002        25,836       24,436      1,400      5.4
CN0101100000000   01     011   Bullock County, AL                                2002         3,890        3,493        397     10.2
CN0101300000000   01     013   Butler County, AL                                 2002         9,172        8,448        724      7.9
CN0101500000000   01     015   Calhoun County, AL                                2002        52,111       48,991      3,120      6.0
CN0101700000000   01     017   Chambers County, AL                               2002        17,211       16,056      1,155      6.7
CN0101900000000   01     019   Cherokee County, AL                               2002        11,591       11,039        552      4.8
CN0102100000000   01     021   Chilton County, AL                                2002        19,452       18,456        996      5.1
CN0102300000000   01     023   Choctaw County, AL                                2002         5,749        5,239        510      8.9
CN0102500000000   01     025   Clarke County, AL                                 2002        10,752        9,775        977      9.1
CN0102700000000   01     027   Clay County, AL                                   2002         6,165        5,780        385      6.2
CN0102900000000   01     029   Cleburne County, AL                               2002         6,794        6,454        340      5.0
CN0103100000000   01     031   Coffee County, AL                                 2002        19,359       18,354      1,005      5.2
CN0103300000000   01     033   Colbert County, AL                                2002        25,050       22,957      2,093      8.4
CN0103500000000   01     035   Conecuh County, AL                                2002         5,179        4,754        425      8.2
CN0103700000000   01     037   Coosa County, AL                                  2002         5,198        4,712        486      9.3
CN0103900000000   01     039   Covington County, AL                              2002        17,148       16,128      1,020      5.9
CN0104100000000   01     041   Crenshaw County, AL                               2002         5,845        5,489        356      6.1
CN0104300000000   01     043   Cullman County, AL                                2002        38,052       35,757      2,295      6.0
CN0104500000000   01     045   Dale County, AL                                   2002        20,321       19,162      1,159      5.7
CN0104700000000   01     047   Dallas County, AL                                 2002        17,190       15,224      1,966     11.4
CN0104900000000   01     049   DeKalb County, AL                                 2002        32,483       30,806      1,677      5.2
CN0105100000000   01     051   Elmore County, AL                                 2002        31,773       30,247      1,526      4.8
CN0105300000000   01     053   Escambia County, AL                               2002        14,965       13,659      1,306      8.7
CN0105500000000   01     055   Etowah County, AL                                 2002        47,036       44,025      3,011      6.4
CN0105700000000   01     057   Fayette County, AL                                2002         7,906        7,230        676      8.6
CN0105900000000   01     059   Franklin County, AL                               2002        13,732       12,190      1,542     11.2
CN0106100000000   01     061   Geneva County, AL                                 2002        11,744       11,163        581      4.9
CN0106300000000   01     063   Greene County, AL                                 2002         3,534        3,234        300      8.5
CN0106500000000   01     065   Hale County, AL                                   2002         7,077        6,481        596      8.4
CN0106700000000   01     067   Henry County, AL                                  2002         7,554        7,096        458      6.1
CN0106900000000   01     069   Houston County, AL                                2002        44,887       42,753      2,134      4.8
CN0107100000000   01     071   Jackson County, AL                                2002        26,880       24,984      1,896      7.1
CN0107300000000   01     073   Jefferson County, AL                              2002       323,104      306,259     16,845      5.2
CN0107500000000   01     075   Lamar County, AL                                  2002         6,983        6,393        590      8.4
CN0107700000000   01     077   Lauderdale County, AL                             2002        42,102       38,470      3,632      8.6
CN0107900000000   01     079   Lawrence County, AL                               2002        16,142       15,044      1,098      6.8
CN0108100000000   01     081   Lee County, AL                                    2002        59,387       56,661      2,726      4.6
CN0108300000000   01     083   Limestone County, AL                              2002        33,230       31,448      1,782      5.4
CN0108500000000   01     085   Lowndes County, AL                                2002         5,048        4,597        451      8.9
CN0108700000000   01     087   Macon County, AL                                  2002         8,789        8,220        569      6.5
CN0108900000000   01     089   Madison County, AL                                2002       150,356      143,433      6,923      4.6
CN0109100000000   01     091   Marengo County, AL                                2002         9,003        8,429        574      6.4
CN0109300000000   01     093   Marion County, AL                                 2002        12,687       11,576      1,111      8.8
CN0109500000000   01     095   Marshall County, AL                               2002        40,464       38,052      2,412      6.0
CN0109700000000   01     097   Mobile County, AL                                 2002       182,152      170,334     11,818      6.5
CN0109900000000   01     099   Monroe County, AL                                 2002         9,739        8,914        825      8.5
CN0110100000000   01     101   Montgomery County, AL                             2002       104,187       98,616      5,571      5.3
CN0110300000000   01     103   Morgan County, AL                                 2002        55,482       51,944      3,538      6.4
CN0110500000000   01     105   Perry County, AL                                  2002         3,860        3,403        457     11.8
CN0110700000000   01     107   Pickens County, AL                                2002         8,274        7,591        683      8.3
CN0110900000000   01     109   Pike County, AL                                   2002        13,748       12,925        823      6.0
CN0111100000000   01     111   Randolph County, AL                               2002         9,711        9,051        660      6.8
CN0111300000000   01     113   Russell County, AL                                2002        21,521       20,008      1,513      7.0
CN0111500000000   01     115   St. Clair County, AL                              2002        32,033       30,392      1,641      5.1
CN0111700000000   01     117   Shelby County, AL                                 2002        85,927       82,879      3,048      3.5
CN0111900000000   01     119   Sumter County, AL                                 2002         5,116        4,655        461      9.0
CN0112100000000   01     121   Talladega County, AL                              2002        37,413       34,651      2,762      7.4
CN0112300000000   01     123   Tallapoosa County, AL                             2002        18,920       17,428      1,492      7.9
CN0112500000000   01     125   Tuscaloosa County, AL                             2002        81,800       77,987      3,813      4.7
CN0112700000000   01     127   Walker County, AL                                 2002        30,778       28,820      1,958      6.4
CN0112900000000   01     129   Washington County, AL                             2002         7,191        6,442        749     10.4
CN0113100000000   01     131   Wilcox County, AL                                 2002         3,829        3,390        439     11.5
CN0113300000000   01     133   Winston County, AL                                2002        10,511        9,589        922      8.8
CN0201300000000   02     013   Aleutians East Borough, AK                        2002           970          886         84      8.7
CN0201600000000   02     016   Aleutians West Census Area, AK                    2002         2,739        2,569        170      6.2
CN0202000000000   02     020   Anchorage Borough/municipality, AK                2002       144,205      135,942      8,263      5.7
