                               Labor Force Data by County, 2016 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2016        25,710       24,395      1,315      5.1
CN0100300000000   01     003   Baldwin County, AL                                2016        89,778       84,972      4,806      5.4
CN0100500000000   01     005   Barbour County, AL                                2016         8,334        7,638        696      8.4
CN0100700000000   01     007   Bibb County, AL                                   2016         8,539        7,986        553      6.5
CN0100900000000   01     009   Blount County, AL                                 2016        24,380       23,061      1,319      5.4
CN0101100000000   01     011   Bullock County, AL                                2016         4,785        4,457        328      6.9
CN0101300000000   01     013   Butler County, AL                                 2016         9,116        8,484        632      6.9
CN0101500000000   01     015   Calhoun County, AL                                2016        45,450       42,470      2,980      6.6
CN0101700000000   01     017   Chambers County, AL                               2016        14,858       14,044        814      5.5
CN0101900000000   01     019   Cherokee County, AL                               2016        11,241       10,671        570      5.1
CN0102100000000   01     021   Chilton County, AL                                2016        19,029       17,982      1,047      5.5
CN0102300000000   01     023   Choctaw County, AL                                2016         4,292        3,926        366      8.5
CN0102500000000   01     025   Clarke County, AL                                 2016         7,889        7,030        859     10.9
CN0102700000000   01     027   Clay County, AL                                   2016         5,579        5,247        332      6.0
CN0102900000000   01     029   Cleburne County, AL                               2016         5,738        5,394        344      6.0
CN0103100000000   01     031   Coffee County, AL                                 2016        20,429       19,227      1,202      5.9
CN0103300000000   01     033   Colbert County, AL                                2016        23,261       21,640      1,621      7.0
CN0103500000000   01     035   Conecuh County, AL                                2016         4,512        4,131        381      8.4
CN0103700000000   01     037   Coosa County, AL                                  2016         4,344        4,084        260      6.0
CN0103900000000   01     039   Covington County, AL                              2016        15,366       14,325      1,041      6.8
CN0104100000000   01     041   Crenshaw County, AL                               2016         6,401        6,024        377      5.9
CN0104300000000   01     043   Cullman County, AL                                2016        37,594       35,720      1,874      5.0
CN0104500000000   01     045   Dale County, AL                                   2016        19,796       18,648      1,148      5.8
CN0104700000000   01     047   Dallas County, AL                                 2016        15,293       13,880      1,413      9.2
CN0104900000000   01     049   DeKalb County, AL                                 2016        28,996       27,232      1,764      6.1
CN0105100000000   01     051   Elmore County, AL                                 2016        36,921       35,161      1,760      4.8
CN0105300000000   01     053   Escambia County, AL                               2016        14,433       13,472        961      6.7
CN0105500000000   01     055   Etowah County, AL                                 2016        42,914       40,372      2,542      5.9
CN0105700000000   01     057   Fayette County, AL                                2016         6,542        6,100        442      6.8
CN0105900000000   01     059   Franklin County, AL                               2016        13,752       12,941        811      5.9
CN0106100000000   01     061   Geneva County, AL                                 2016        10,720       10,097        623      5.8
CN0106300000000   01     063   Greene County, AL                                 2016         2,848        2,564        284     10.0
CN0106500000000   01     065   Hale County, AL                                   2016         5,933        5,478        455      7.7
CN0106700000000   01     067   Henry County, AL                                  2016         6,666        6,231        435      6.5
CN0106900000000   01     069   Houston County, AL                                2016        44,185       41,621      2,564      5.8
CN0107100000000   01     071   Jackson County, AL                                2016        23,390       21,911      1,479      6.3
CN0107300000000   01     073   Jefferson County, AL                              2016       308,632      290,887     17,745      5.7
CN0107500000000   01     075   Lamar County, AL                                  2016         5,643        5,324        319      5.7
CN0107700000000   01     077   Lauderdale County, AL                             2016        42,180       39,490      2,690      6.4
CN0107900000000   01     079   Lawrence County, AL                               2016        13,607       12,665        942      6.9
CN0108100000000   01     081   Lee County, AL                                    2016        71,759       67,995      3,764      5.2
CN0108300000000   01     083   Limestone County, AL                              2016        40,349       38,229      2,120      5.3
CN0108500000000   01     085   Lowndes County, AL                                2016         3,770        3,371        399     10.6
CN0108700000000   01     087   Macon County, AL                                  2016         7,803        7,208        595      7.6
CN0108900000000   01     089   Madison County, AL                                2016       172,125      163,288      8,837      5.1
CN0109100000000   01     091   Marengo County, AL                                2016         7,608        7,063        545      7.2
CN0109300000000   01     093   Marion County, AL                                 2016        12,394       11,572        822      6.6
CN0109500000000   01     095   Marshall County, AL                               2016        41,240       39,034      2,206      5.3
CN0109700000000   01     097   Mobile County, AL                                 2016       186,230      173,856     12,374      6.6
CN0109900000000   01     099   Monroe County, AL                                 2016         7,255        6,596        659      9.1
CN0110100000000   01     101   Montgomery County, AL                             2016       104,883       98,929      5,954      5.7
CN0110300000000   01     103   Morgan County, AL                                 2016        54,413       51,395      3,018      5.5
CN0110500000000   01     105   Perry County, AL                                  2016         3,438        3,083        355     10.3
CN0110700000000   01     107   Pickens County, AL                                2016         7,702        7,172        530      6.9
CN0110900000000   01     109   Pike County, AL                                   2016        14,825       13,860        965      6.5
CN0111100000000   01     111   Randolph County, AL                               2016         9,350        8,827        523      5.6
CN0111300000000   01     113   Russell County, AL                                2016        23,338       22,038      1,300      5.6
CN0111500000000   01     115   St. Clair County, AL                              2016        38,757       36,745      2,012      5.2
CN0111700000000   01     117   Shelby County, AL                                 2016       108,670      103,986      4,684      4.3
CN0111900000000   01     119   Sumter County, AL                                 2016         5,069        4,678        391      7.7
CN0112100000000   01     121   Talladega County, AL                              2016        34,528       32,244      2,284      6.6
CN0112300000000   01     123   Tallapoosa County, AL                             2016        18,426       17,396      1,030      5.6
CN0112500000000   01     125   Tuscaloosa County, AL                             2016        98,431       92,864      5,567      5.7
CN0112700000000   01     127   Walker County, AL                                 2016        25,356       23,465      1,891      7.5
CN0112900000000   01     129   Washington County, AL                             2016         6,686        6,109        577      8.6
CN0113100000000   01     131   Wilcox County, AL                                 2016         2,795        2,391        404     14.5
CN0113300000000   01     133   Winston County, AL                                2016         9,455        8,783        672      7.1
CN0201300000000   02     013   Aleutians East Borough, AK                        2016         2,589        2,523         66      2.5
CN0201600000000   02     016   Aleutians West Census Area, AK                    2016         3,982        3,856        126      3.2
CN0202000000000   02     020   Anchorage Borough/municipality, AK                2016       155,471      147,254      8,217      5.3
CN0205000000000   02     050   Bethel Census Area, AK                            2016         7,219        6,230        989     13.7
CN0206000000000   02     060   Bristol Bay Borough, AK                           2016           413          385         28      6.8
CN0206800000000   02     068   Denali Borough, AK                                2016         1,091          996         95      8.7
CN0207000000000   02     070   Dillingham Census Area, AK                        2016         2,073        1,881        192      9.3
CN0209000000000   02     090   Fairbanks North Star Borough, AK                  2016        46,443       43,824      2,619      5.6
CN0210000000000   02     100   Haines Borough, AK                                2016         1,071          966        105      9.8
CN0210500000000   02     105   Hoonah-Angoon Census Area, AK                     2016         1,200        1,064        136     11.3
CN0211000000000   02     110   Juneau Borough/city, AK                           2016        17,343       16,599        744      4.3
CN0212200000000   02     122   Kenai Peninsula Borough, AK                       2016        27,123       24,906      2,217      8.2
CN0213000000000   02     130   Ketchikan Gateway Borough, AK                     2016         7,019        6,581        438      6.2
CN0215000000000   02     150   Kodiak Island Borough, AK                         2016         6,418        6,101        317      4.9
CN0215800000000   02     158   Kusilvak Census Area, AK                          2016         2,706        2,142        564     20.8
CN0216400000000   02     164   Lake and Peninsula Borough, AK                    2016           653          575         78     11.9
CN0217000000000   02     170   Matanuska-Susitna Borough, AK                     2016        47,353       43,613      3,740      7.9
CN0218000000000   02     180   Nome Census Area, AK                              2016         4,072        3,574        498     12.2
CN0218500000000   02     185   North Slope Borough, AK                           2016         3,951        3,694        257      6.5
CN0218800000000   02     188   Northwest Arctic Borough, AK                      2016         2,950        2,496        454     15.4
CN0219500000000   02     195   Petersburg Borough, AK                            2016         1,447        1,322        125      8.6
CN0219800000000   02     198   Prince of Wales-Hyder Census Area, AK             2016         2,760        2,437        323     11.7
CN0222000000000   02     220   Sitka Borough/city, AK                            2016         4,373        4,179        194      4.4
CN0223000000000   02     230   Skagway Municipality, AK                          2016           803          717         86     10.7
CN0224000000000   02     240   Southeast Fairbanks Census Area, AK               2016         2,990        2,681        309     10.3
CN0226100000000   02     261   Valdez-Cordova Census Area, AK                    2016         4,802        4,406        396      8.2
CN0227500000000   02     275   Wrangell Borough/city, AK                         2016         1,053          977         76      7.2
CN0228200000000   02     282   Yakutat Borough/city, AK                          2016           244          224         20      8.2
CN0229000000000   02     290   Yukon-Koyukuk Census Area, AK                     2016         2,408        1,994        414     17.2
CN0400100000000   04     001   Apache County, AZ                                 2016        20,418       18,042      2,376     11.6
CN0400300000000   04     003   Cochise County, AZ                                2016        49,799       46,647      3,152      6.3
CN0400500000000   04     005   Coconino County, AZ                               2016        74,484       69,930      4,554      6.1
CN0400700000000   04     007   Gila County, AZ                                   2016        21,084       19,536      1,548      7.3
CN0400900000000   04     009   Graham County, AZ                                 2016        14,433       13,445        988      6.8
CN0401100000000   04     011   Greenlee County, AZ                               2016         3,916        3,615        301      7.7
CN0401200000000   04     012   La Paz County, AZ                                 2016         8,506        7,983        523      6.1
CN0401300000000   04     013   Maricopa County, AZ                               2016     2,088,551    1,991,371     97,180      4.7
CN0401500000000   04     015   Mohave County, AZ                                 2016        80,843       75,410      5,433      6.7
CN0401700000000   04     017   Navajo County, AZ                                 2016        41,511       38,030      3,481      8.4
CN0401900000000   04     019   Pima County, AZ                                   2016       471,452      447,695     23,757      5.0
CN0402100000000   04     021   Pinal County, AZ                                  2016       164,605      155,330      9,275      5.6
CN0402300000000   04     023   Santa Cruz County, AZ                             2016        19,282       17,317      1,965     10.2
CN0402500000000   04     025   Yavapai County, AZ                                2016        99,916       94,913      5,003      5.0
CN0402700000000   04     027   Yuma County, AZ                                   2016        94,671       76,590     18,081     19.1
CN0500100000000   05     001   Arkansas County, AR                               2016         9,284        8,967        317      3.4
CN0500300000000   05     003   Ashley County, AR                                 2016         7,966        7,477        489      6.1
CN0500500000000   05     005   Baxter County, AR                                 2016        16,130       15,435        695      4.3
CN0500700000000   05     007   Benton County, AR                                 2016       128,130      124,390      3,740      2.9
CN0500900000000   05     009   Boone County, AR                                  2016        15,957       15,370        587      3.7
CN0501100000000   05     011   Bradley County, AR                                2016         4,491        4,265        226      5.0
CN0501300000000   05     013   Calhoun County, AR                                2016         2,396        2,286        110      4.6
CN0501500000000   05     015   Carroll County, AR                                2016        12,891       12,432        459      3.6
CN0501700000000   05     017   Chicot County, AR                                 2016         3,590        3,353        237      6.6
CN0501900000000   05     019   Clark County, AR                                  2016         9,589        9,173        416      4.3
CN0502100000000   05     021   Clay County, AR                                   2016         6,048        5,706        342      5.7
CN0502300000000   05     023   Cleburne County, AR                               2016         9,500        8,935        565      5.9
