                               Labor Force Data by County, 2012 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2012        25,762       23,932      1,830      7.1
CN0100300000000   01     003   Baldwin County, AL                                2012        84,507       77,973      6,534      7.7
CN0100500000000   01     005   Barbour County, AL                                2012         9,377        8,273      1,104     11.8
CN0100700000000   01     007   Bibb County, AL                                   2012         8,808        8,037        771      8.8
CN0100900000000   01     009   Blount County, AL                                 2012        24,978       23,216      1,762      7.1
CN0101100000000   01     011   Bullock County, AL                                2012         4,742        4,240        502     10.6
CN0101300000000   01     013   Butler County, AL                                 2012         9,103        8,029      1,074     11.8
CN0101500000000   01     015   Calhoun County, AL                                2012        49,717       45,196      4,521      9.1
CN0101700000000   01     017   Chambers County, AL                               2012        15,160       13,630      1,530     10.1
CN0101900000000   01     019   Cherokee County, AL                               2012        11,278       10,350        928      8.2
CN0102100000000   01     021   Chilton County, AL                                2012        19,396       17,960      1,436      7.4
CN0102300000000   01     023   Choctaw County, AL                                2012         4,798        4,292        506     10.5
CN0102500000000   01     025   Clarke County, AL                                 2012         8,397        7,107      1,290     15.4
CN0102700000000   01     027   Clay County, AL                                   2012         5,419        4,899        520      9.6
CN0102900000000   01     029   Cleburne County, AL                               2012         5,842        5,351        491      8.4
CN0103100000000   01     031   Coffee County, AL                                 2012        20,625       19,135      1,490      7.2
CN0103300000000   01     033   Colbert County, AL                                2012        24,057       21,895      2,162      9.0
CN0103500000000   01     035   Conecuh County, AL                                2012         4,643        4,077        566     12.2
CN0103700000000   01     037   Coosa County, AL                                  2012         4,451        4,025        426      9.6
CN0103900000000   01     039   Covington County, AL                              2012        16,364       14,960      1,404      8.6
CN0104100000000   01     041   Crenshaw County, AL                               2012         6,257        5,725        532      8.5
CN0104300000000   01     043   Cullman County, AL                                2012        35,607       32,795      2,812      7.9
CN0104500000000   01     045   Dale County, AL                                   2012        21,388       19,757      1,631      7.6
CN0104700000000   01     047   Dallas County, AL                                 2012        16,780       14,565      2,215     13.2
CN0104900000000   01     049   DeKalb County, AL                                 2012        28,868       26,193      2,675      9.3
CN0105100000000   01     051   Elmore County, AL                                 2012        36,657       34,045      2,612      7.1
CN0105300000000   01     053   Escambia County, AL                               2012        14,749       13,358      1,391      9.4
CN0105500000000   01     055   Etowah County, AL                                 2012        44,283       40,540      3,743      8.5
CN0105700000000   01     057   Fayette County, AL                                2012         6,511        5,936        575      8.8
CN0105900000000   01     059   Franklin County, AL                               2012        13,989       12,790      1,199      8.6
CN0106100000000   01     061   Geneva County, AL                                 2012        11,283       10,408        875      7.8
CN0106300000000   01     063   Greene County, AL                                 2012         3,132        2,698        434     13.9
CN0106500000000   01     065   Hale County, AL                                   2012         6,223        5,492        731     11.7
CN0106700000000   01     067   Henry County, AL                                  2012         7,037        6,439        598      8.5
CN0106900000000   01     069   Houston County, AL                                2012        46,100       42,525      3,575      7.8
CN0107100000000   01     071   Jackson County, AL                                2012        23,760       21,669      2,091      8.8
CN0107300000000   01     073   Jefferson County, AL                              2012       316,771      292,662     24,109      7.6
CN0107500000000   01     075   Lamar County, AL                                  2012         5,810        5,363        447      7.7
