                               Labor Force Data by County, 2010 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate
CN2703100000000   27     031   Cook County, MN                                   2010         3,059        2,839        220      7.2
CN2703300000000   27     033   Cottonwood County, MN                             2010         6,232        5,825        407      6.5
CN2703500000000   27     035   Crow Wing County, MN                              2010        32,059       28,999      3,060      9.5
CN2703700000000   27     037   Dakota County, MN                                 2010       227,404      211,524     15,880      7.0
CN2703900000000   27     039   Dodge County, MN                                  2010        11,315       10,530        785      6.9
CN2704100000000   27     041   Douglas County, MN                                2010        19,833       18,481      1,352      6.8
CN2704300000000   27     043   Faribault County, MN                              2010         7,837        7,211        626      8.0
CN2704500000000   27     045   Fillmore County, MN                               2010        11,256       10,408        848      7.5
CN2704700000000   27     047   Freeborn County, MN                               2010        17,097       15,775      1,322      7.7
CN2704900000000   27     049   Goodhue County, MN                                2010        26,751       24,866      1,885      7.0
CN2705100000000   27     051   Grant County, MN                                  2010         3,402        3,131        271      8.0
CN2705300000000   27     053   Hennepin County, MN                               2010       651,084      605,608     45,476      7.0
CN2705500000000   27     055   Houston County, MN                                2010        10,840       10,005        835      7.7
CN2705700000000   27     057   Hubbard County, MN                                2010         9,759        8,789        970      9.9
CN2705900000000   27     059   Isanti County, MN                                 2010        20,577       18,592      1,985      9.6
CN2706100000000   27     061   Itasca County, MN                                 2010        22,514       20,225      2,289     10.2
CN2706300000000   27     063   Jackson County, MN                                2010         6,031        5,677        354      5.9
CN2706500000000   27     065   Kanabec County, MN                                2010         8,793        7,804        989     11.2
CN2706700000000   27     067   Kandiyohi County, MN                              2010        23,588       22,009      1,579      6.7
CN2706900000000   27     069   Kittson County, MN                                2010         2,579        2,384        195      7.6
CN2707100000000   27     071   Koochiching County, MN                            2010         6,945        6,340        605      8.7
CN2707300000000   27     073   Lac qui Parle County, MN                          2010         4,085        3,812        273      6.7
CN2707500000000   27     075   Lake County, MN                                   2010         5,802        5,319        483      8.3
CN2707700000000   27     077   Lake of the Woods County, MN                      2010         2,283        2,135        148      6.5
CN2707900000000   27     079   Le Sueur County, MN                               2010        15,722       14,331      1,391      8.8
CN2708100000000   27     081   Lincoln County, MN                                2010         3,448        3,257        191      5.5
CN2708300000000   27     083   Lyon County, MN                                   2010        15,237       14,382        855      5.6
CN2708500000000   27     085   McLeod County, MN                                 2010        20,320       18,497      1,823      9.0
CN2708700000000   27     087   Mahnomen County, MN                               2010         2,504        2,297        207      8.3
CN2708900000000   27     089   Marshall County, MN                               2010         5,703        5,172        531      9.3
CN2709100000000   27     091   Martin County, MN                                 2010        11,513       10,670        843      7.3
CN2709300000000   27     093   Meeker County, MN                                 2010        12,821       11,690      1,131      8.8
CN2709500000000   27     095   Mille Lacs County, MN                             2010        13,165       11,701      1,464     11.1
CN2709700000000   27     097   Morrison County, MN                               2010        18,629       16,858      1,771      9.5
CN2709900000000   27     099   Mower County, MN                                  2010        20,923       19,644      1,279      6.1
CN2710100000000   27     101   Murray County, MN                                 2010         5,026        4,680        346      6.9
CN2710300000000   27     103   Nicollet County, MN                               2010        19,796       18,584      1,212      6.1
CN2710500000000   27     105   Nobles County, MN                                 2010        11,531       10,882        649      5.6
CN2710700000000   27     107   Norman County, MN                                 2010         3,607        3,357        250      6.9
CN2710900000000   27     109   Olmsted County, MN                                2010        81,257       76,408      4,849      6.0
CN2711100000000   27     111   Otter Tail County, MN                             2010        30,896       28,673      2,223      7.2
CN2711300000000   27     113   Pennington County, MN                             2010         8,406        7,643        763      9.1
CN2711500000000   27     115   Pine County, MN                                   2010        15,371       13,856      1,515      9.9
CN2711700000000   27     117   Pipestone County, MN                              2010         5,152        4,812        340      6.6
CN2711900000000   27     119   Polk County, MN                                   2010        17,171       16,028      1,143      6.7
CN2712100000000   27     121   Pope County, MN                                   2010         5,884        5,464        420      7.1
CN2712300000000   27     123   Ramsey County, MN                                 2010       270,269      250,065     20,204      7.5
CN2712500000000   27     125   Red Lake County, MN                               2010         2,421        2,188        233      9.6
CN2712700000000   27     127   Redwood County, MN                                2010         8,587        8,006        581      6.8
CN2712900000000   27     129   Renville County, MN                               2010         8,998        8,274        724      8.0
CN2713100000000   27     131   Rice County, MN                                   2010        35,007       32,281      2,726      7.8
CN2713300000000   27     133   Rock County, MN                                   2010         5,380        5,107        273      5.1
CN2713500000000   27     135   Roseau County, MN                                 2010         8,692        8,134        558      6.4
CN2713700000000   27     137   St. Louis County, MN                              2010       103,461       95,040      8,421      8.1
CN2713900000000   27     139   Scott County, MN                                  2010        74,208       69,100      5,108      6.9
CN2714100000000   27     141   Sherburne County, MN                              2010        49,033       44,890      4,143      8.4
CN2714300000000   27     143   Sibley County, MN                                 2010         8,516        7,841        675      7.9
CN2714500000000   27     145   Stearns County, MN                                2010        85,722       79,536      6,186      7.2
CN2714700000000   27     147   Steele County, MN                                 2010        21,080       19,436      1,644      7.8
CN2714900000000   27     149   Stevens County, MN                                2010         5,551        5,241        310      5.6
CN2715100000000   27     151   Swift County, MN                                  2010         5,244        4,818        426      8.1
CN2715300000000   27     153   Todd County, MN                                   2010        13,526       12,477      1,049      7.8
CN2715500000000   27     155   Traverse County, MN                               2010         1,882        1,765        117      6.2
CN2715700000000   27     157   Wabasha County, MN                                2010        12,117       11,249        868      7.2
CN2715900000000   27     159   Wadena County, MN                                 2010         6,486        5,825        661     10.2
CN2716100000000   27     161   Waseca County, MN                                 2010        10,584        9,791        793      7.5
CN2716300000000   27     163   Washington County, MN                             2010       132,144      123,252      8,892      6.7
CN2716500000000   27     165   Watonwan County, MN                               2010         6,316        5,853        463      7.3
CN2716700000000   27     167   Wilkin County, MN                                 2010         3,825        3,615        210      5.5
CN2716900000000   27     169   Winona County, MN                                 2010        29,234       27,210      2,024      6.9
CN2717100000000   27     171   Wright County, MN                                 2010        70,146       64,495      5,651      8.1
CN2717300000000   27     173   Yellow Medicine County, MN                        2010         5,882        5,511        371      6.3
CN2800100000000   28     001   Adams County, MS                                  2010        12,630       11,220      1,410     11.2
CN2800300000000   28     003   Alcorn County, MS                                 2010        15,745       13,978      1,767     11.2
CN2800500000000   28     005   Amite County, MS                                  2010         4,987        4,408        579     11.6
CN2800700000000   28     007   Attala County, MS                                 2010         7,966        6,994        972     12.2
CN2800900000000   28     009   Benton County, MS                                 2010         3,278        2,880        398     12.1
CN2801100000000   28     011   Bolivar County, MS                                2010        14,930       13,280      1,650     11.1
CN2801300000000   28     013   Calhoun County, MS                                2010         7,042        6,409        633      9.0
CN2801500000000   28     015   Carroll County, MS                                2010         3,837        3,347        490     12.8
CN2801700000000   28     017   Chickasaw County, MS                              2010         7,955        7,025        930     11.7
CN2801900000000   28     019   Choctaw County, MS                                2010         3,772        3,339        433     11.5
CN2802100000000   28     021   Claiborne County, MS                              2010         3,581        2,998        583     16.3
CN2802300000000   28     023   Clarke County, MS                                 2010         6,615        5,806        809     12.2
CN2802500000000   28     025   Clay County, MS                                   2010         8,684        7,295      1,389     16.0
CN2802700000000   28     027   Coahoma County, MS                                2010        10,489        9,091      1,398     13.3
CN2802900000000   28     029   Copiah County, MS                                 2010        12,012       10,677      1,335     11.1
CN2803100000000   28     031   Covington County, MS                              2010         8,252        7,440        812      9.8
CN2803300000000   28     033   DeSoto County, MS                                 2010        79,838       74,061      5,777      7.2
CN2803500000000   28     035   Forrest County, MS                                2010        34,157       30,915      3,242      9.5
CN2803700000000   28     037   Franklin County, MS                               2010         3,240        2,881        359     11.1
CN2803900000000   28     039   George County, MS                                 2010         8,775        7,793        982     11.2
CN2804100000000   28     041   Greene County, MS                                 2010         4,587        4,055        532     11.6
CN2804300000000   28     043   Grenada County, MS                                2010         9,447        8,385      1,062     11.2
CN2804500000000   28     045   Hancock County, MS                                2010        19,700       17,980      1,720      8.7
CN2804700000000   28     047   Harrison County, MS                               2010        88,949       81,369      7,580      8.5
CN2804900000000   28     049   Hinds County, MS                                  2010       114,138      103,236     10,902      9.6
CN2805100000000   28     051   Holmes County, MS                                 2010         6,842        5,535      1,307     19.1
CN2805300000000   28     053   Humphreys County, MS                              2010         3,481        2,897        584     16.8
CN2805500000000   28     055   Issaquena County, MS                              2010           524          442         82     15.6
CN2805700000000   28     057   Itawamba County, MS                               2010        10,373        9,236      1,137     11.0
CN2805900000000   28     059   Jackson County, MS                                2010        64,564       58,594      5,970      9.2
CN2806100000000   28     061   Jasper County, MS                                 2010         7,024        6,186        838     11.9
CN2806300000000   28     063   Jefferson County, MS                              2010         2,470        2,017        453     18.3
CN2806500000000   28     065   Jefferson Davis County, MS                        2010         4,613        3,982        631     13.7
CN2806700000000   28     067   Jones County, MS                                  2010        27,996       25,515      2,481      8.9
CN2806900000000   28     069   Kemper County, MS                                 2010         3,909        3,348        561     14.4
CN2807100000000   28     071   Lafayette County, MS                              2010        21,700       19,732      1,968      9.1
CN2807300000000   28     073   Lamar County, MS                                  2010        27,740       25,805      1,935      7.0
CN2807500000000   28     075   Lauderdale County, MS                             2010        33,113       29,694      3,419     10.3
CN2807700000000   28     077   Lawrence County, MS                               2010         5,156        4,558        598     11.6
CN2807900000000   28     079   Leake County, MS                                  2010         9,196        8,332        864      9.4
CN2808100000000   28     081   Lee County, MS                                    2010        39,265       35,293      3,972     10.1
CN2808300000000   28     083   Leflore County, MS                                2010        11,608        9,876      1,732     14.9
CN2808500000000   28     085   Lincoln County, MS                                2010        14,487       13,007      1,480     10.2
CN2808700000000   28     087   Lowndes County, MS                                2010        26,184       23,166      3,018     11.5
CN2808900000000   28     089   Madison County, MS                                2010        48,853       45,347      3,506      7.2
CN2809100000000   28     091   Marion County, MS                                 2010        10,560        9,307      1,253     11.9
CN2809300000000   28     093   Marshall County, MS                               2010        15,519       13,696      1,823     11.7
CN2809500000000   28     095   Monroe County, MS                                 2010        16,319       14,231      2,088     12.8
CN2809700000000   28     097   Montgomery County, MS                             2010         4,678        4,051        627     13.4
CN2809900000000   28     099   Neshoba County, MS                                2010        11,829       10,634      1,195     10.1
CN2810100000000   28     101   Newton County, MS                                 2010         9,221        8,317        904      9.8
CN2810300000000   28     103   Noxubee County, MS                                2010         4,432        3,751        681     15.4
CN2810500000000   28     105   Oktibbeha County, MS                              2010        21,743       19,580      2,163      9.9
CN2810700000000   28     107   Panola County, MS                                 2010        14,422       12,521      1,901     13.2
CN2810900000000   28     109   Pearl River County, MS                            2010        23,474       21,307      2,167      9.2
CN2811100000000   28     111   Perry County, MS                                  2010         4,642        4,024        618     13.3
CN2811300000000   28     113   Pike County, MS                                   2010        15,636       13,871      1,765     11.3
CN2811500000000   28     115   Pontotoc County, MS                               2010        13,700       12,344      1,356      9.9
CN2811700000000   28     117   Prentiss County, MS                               2010        11,621       10,288      1,333     11.5
CN2811900000000   28     119   Quitman County, MS                                2010         3,198        2,735        463     14.5
CN2812100000000   28     121   Rankin County, MS                                 2010        71,072       66,343      4,729      6.7
CN2812300000000   28     123   Scott County, MS                                  2010        13,588       12,534      1,054      7.8
CN2812500000000   28     125   Sharkey County, MS                                2010         2,060        1,769        291     14.1
CN2812700000000   28     127   Simpson County, MS                                2010        11,401       10,358      1,043      9.1
CN2812900000000   28     129   Smith County, MS                                  2010         7,330        6,684        646      8.8
CN2813100000000   28     131   Stone County, MS                                  2010         6,855        6,149        706     10.3
CN2813300000000   28     133   Sunflower County, MS                              2010         9,872        8,391      1,481     15.0
CN2813500000000   28     135   Tallahatchie County, MS                           2010         5,894        5,193        701     11.9
CN2813700000000   28     137   Tate County, MS                                   2010        12,654       11,329      1,325     10.5
CN2813900000000   28     139   Tippah County, MS                                 2010         8,999        7,817      1,182     13.1
CN2814100000000   28     141   Tishomingo County, MS                             2010         7,821        6,852        969     12.4
CN2814300000000   28     143   Tunica County, MS                                 2010         5,031        4,362        669     13.3
CN2814500000000   28     145   Union County, MS                                  2010        12,159       10,870      1,289     10.6
CN2814700000000   28     147   Walthall County, MS                               2010         5,823        5,087        736     12.6
CN2814900000000   28     149   Warren County, MS                                 2010        23,373       20,997      2,376     10.2
CN2815100000000   28     151   Washington County, MS                             2010        20,957       17,729      3,228     15.4
CN2815300000000   28     153   Wayne County, MS                                  2010         8,644        7,628      1,016     11.8
CN2815500000000   28     155   Webster County, MS                                2010         4,379        3,889        490     11.2
CN2815700000000   28     157   Wilkinson County, MS                              2010         3,447        2,983        464     13.5
CN2815900000000   28     159   Winston County, MS                                2010         7,944        6,631      1,313     16.5
CN2816100000000   28     161   Yalobusha County, MS                              2010         5,210        4,522        688     13.2
CN2816300000000   28     163   Yazoo County, MS                                  2010         9,928        8,746      1,182     11.9
CN2900100000000   29     001   Adair County, MO                                  2010        11,036       10,089        947      8.6
CN2900300000000   29     003   Andrew County, MO                                 2010         9,857        9,046        811      8.2
CN2900500000000   29     005   Atchison County, MO                               2010         2,987        2,732        255      8.5
CN2900700000000   29     007   Audrain County, MO                                2010        11,090       10,032      1,058      9.5
CN2900900000000   29     009   Barry County, MO                                  2010        15,549       14,059      1,490      9.6
CN2901100000000   29     011   Barton County, MO                                 2010         5,732        5,146        586     10.2
CN2901300000000   29     013   Bates County, MO                                  2010         8,357        7,447        910     10.9
CN2901500000000   29     015   Benton County, MO                                 2010         7,260        6,384        876     12.1
CN2901700000000   29     017   Bollinger County, MO                              2010         5,817        5,236        581     10.0
CN2901900000000   29     019   Boone County, MO                                  2010        92,186       86,285      5,901      6.4
CN2902100000000   29     021   Buchanan County, MO                               2010        46,465       42,236      4,229      9.1
CN2902300000000   29     023   Butler County, MO                                 2010        18,687       16,910      1,777      9.5
CN2902500000000   29     025   Caldwell County, MO                               2010         4,541        4,110        431      9.5
CN2902700000000   29     027   Callaway County, MO                               2010        22,284       20,453      1,831      8.2
CN2902900000000   29     029   Camden County, MO                                 2010        19,373       17,069      2,304     11.9
CN2903100000000   29     031   Cape Girardeau County, MO                         2010        40,861       37,890      2,971      7.3
CN2903300000000   29     033   Carroll County, MO                                2010         4,774        4,231        543     11.4
CN2903500000000   29     035   Carter County, MO                                 2010         2,655        2,351        304     11.5
CN2903700000000   29     037   Cass County, MO                                   2010        53,137       48,049      5,088      9.6
CN2903900000000   29     039   Cedar County, MO                                  2010         6,087        5,511        576      9.5
CN2904100000000   29     041   Chariton County, MO                               2010         4,111        3,723        388      9.4
CN2904300000000   29     043   Christian County, MO                              2010        40,687       37,289      3,398      8.4
CN2904500000000   29     045   Clark County, MO                                  2010         3,447        3,022        425     12.3
CN2904700000000   29     047   Clay County, MO                                   2010       124,476      114,132     10,344      8.3
CN2904900000000   29     049   Clinton County, MO                                2010        11,020        9,967      1,053      9.6
CN2905100000000   29     051   Cole County, MO                                   2010        40,520       37,762      2,758      6.8
CN2905300000000   29     053   Cooper County, MO                                 2010         7,926        7,159        767      9.7
CN2905500000000   29     055   Crawford County, MO                               2010        10,762        9,406      1,356     12.6
CN2905700000000   29     057   Dade County, MO                                   2010         3,387        3,060        327      9.7
CN2905900000000   29     059   Dallas County, MO                                 2010         7,252        6,347        905     12.5
CN2906100000000   29     061   Daviess County, MO                                2010         3,992        3,604        388      9.7
CN2906300000000   29     063   DeKalb County, MO                                 2010         5,002        4,565        437      8.7
CN2906500000000   29     065   Dent County, MO                                   2010         6,483        5,817        666     10.3
CN2906700000000   29     067   Douglas County, MO                                2010         5,225        4,596        629     12.0
CN2906900000000   29     069   Dunklin County, MO                                2010        12,234       10,595      1,639     13.4
CN2907100000000   29     071   Franklin County, MO                               2010        53,206       47,232      5,974     11.2
CN2907300000000   29     073   Gasconade County, MO                              2010         7,718        6,919        799     10.4
CN2907500000000   29     075   Gentry County, MO                                 2010         3,509        3,234        275      7.8
CN2907700000000   29     077   Greene County, MO                                 2010       144,128      132,202     11,926      8.3
CN2907900000000   29     079   Grundy County, MO                                 2010         4,817        4,434        383      8.0
CN2908100000000   29     081   Harrison County, MO                               2010         4,045        3,663        382      9.4
CN2908300000000   29     083   Henry County, MO                                  2010        10,095        9,013      1,082     10.7
CN2908500000000   29     085   Hickory County, MO                                2010         3,661        3,202        459     12.5
CN2908700000000   29     087   Holt County, MO                                   2010         2,681        2,470        211      7.9
CN2908900000000   29     089   Howard County, MO                                 2010         4,981        4,549        432      8.7
CN2909100000000   29     091   Howell County, MO                                 2010        16,990       15,165      1,825     10.7
CN2909300000000   29     093   Iron County, MO                                   2010         3,554        2,966        588     16.5
CN2909500000000   29     095   Jackson County, MO                                2010       359,453      321,363     38,090     10.6
CN2909700000000   29     097   Jasper County, MO                                 2010        58,771       53,830      4,941      8.4
CN2909900000000   29     099   Jefferson County, MO                              2010       117,009      104,981     12,028     10.3
CN2910100000000   29     101   Johnson County, MO                                2010        23,393       21,084      2,309      9.9
CN2910300000000   29     103   Knox County, MO                                   2010         1,999        1,845        154      7.7
CN2910500000000   29     105   Laclede County, MO                                2010        15,846       13,893      1,953     12.3
CN2910700000000   29     107   Lafayette County, MO                              2010        17,474       15,775      1,699      9.7
CN2910900000000   29     109   Lawrence County, MO                               2010        17,483       15,870      1,613      9.2
CN2911100000000   29     111   Lewis County, MO                                  2010         5,181        4,742        439      8.5
CN2911300000000   29     113   Lincoln County, MO                                2010        26,581       23,476      3,105     11.7
CN2911500000000   29     115   Linn County, MO                                   2010         5,425        4,749        676     12.5
CN2911700000000   29     117   Livingston County, MO                             2010         7,118        6,541        577      8.1
CN2911900000000   29     119   McDonald County, MO                               2010        10,316        9,378        938      9.1
CN2912100000000   29     121   Macon County, MO                                  2010         7,450        6,765        685      9.2
CN2912300000000   29     123   Madison County, MO                                2010         5,433        4,777        656     12.1
CN2912500000000   29     125   Maries County, MO                                 2010         4,239        3,840        399      9.4
CN2912700000000   29     127   Marion County, MO                                 2010        14,707       13,380      1,327      9.0
CN2912900000000   29     129   Mercer County, MO                                 2010         1,788        1,640        148      8.3
CN2913100000000   29     131   Miller County, MO                                 2010        11,804       10,295      1,509     12.8
CN2913300000000   29     133   Mississippi County, MO                            2010         6,081        5,498        583      9.6
CN2913500000000   29     135   Moniteau County, MO                               2010         7,366        6,749        617      8.4
CN2913700000000   29     137   Monroe County, MO                                 2010         4,099        3,600        499     12.2
CN2913900000000   29     139   Montgomery County, MO                             2010         6,018        5,355        663     11.0
CN2914100000000   29     141   Morgan County, MO                                 2010         7,947        6,800      1,147     14.4
CN2914300000000   29     143   New Madrid County, MO                             2010         8,190        7,380        810      9.9
CN2914500000000   29     145   Newton County, MO                                 2010        28,636       26,083      2,553      8.9
CN2914700000000   29     147   Nodaway County, MO                                2010        11,710       10,871        839      7.2
CN2914900000000   29     149   Oregon County, MO                                 2010         4,087        3,638        449     11.0
CN2915100000000   29     151   Osage County, MO                                  2010         7,436        6,926        510      6.9
CN2915300000000   29     153   Ozark County, MO                                  2010         3,587        3,168        419     11.7
CN2915500000000   29     155   Pemiscot County, MO                               2010         7,187        6,300        887     12.3
CN2915700000000   29     157   Perry County, MO                                  2010         9,794        9,090        704      7.2
CN2915900000000   29     159   Pettis County, MO                                 2010        19,992       18,155      1,837      9.2
CN2916100000000   29     161   Phelps County, MO                                 2010        19,731       17,965      1,766      9.0
CN2916300000000   29     163   Pike County, MO                                   2010         8,203        7,407        796      9.7
CN2916500000000   29     165   Platte County, MO                                 2010        51,366       47,425      3,941      7.7
CN2916700000000   29     167   Polk County, MO                                   2010        14,343       12,879      1,464     10.2
CN2916900000000   29     169   Pulaski County, MO                                2010        16,636       15,186      1,450      8.7
CN2917100000000   29     171   Putnam County, MO                                 2010         2,378        2,188        190      8.0
CN2917300000000   29     173   Ralls County, MO                                  2010         5,611        5,122        489      8.7
CN2917500000000   29     175   Randolph County, MO                               2010        10,745        9,513      1,232     11.5
CN2917700000000   29     177   Ray County, MO                                    2010        11,519       10,347      1,172     10.2
CN2917900000000   29     179   Reynolds County, MO                               2010         2,372        2,016        356     15.0
CN2918100000000   29     181   Ripley County, MO                                 2010         5,370        4,683        687     12.8
CN2918300000000   29     183   St. Charles County, MO                            2010       204,342      187,742     16,600      8.1
CN2918500000000   29     185   St. Clair County, MO                              2010         4,119        3,659        460     11.2
CN2918600000000   29     186   Ste. Genevieve County, MO                         2010         9,363        8,407        956     10.2
CN2918700000000   29     187   St. Francois County, MO                           2010        27,142       23,847      3,295     12.1
CN2918900000000   29     189   St. Louis County, MO                              2010       532,792      485,674     47,118      8.8
CN2919500000000   29     195   Saline County, MO                                 2010        10,935        9,969        966      8.8
CN2919700000000   29     197   Schuyler County, MO                               2010         1,952        1,751        201     10.3
CN2919900000000   29     199   Scotland County, MO                               2010         2,296        2,112        184      8.0
CN2920100000000   29     201   Scott County, MO                                  2010        18,925       17,101      1,824      9.6
CN2920300000000   29     203   Shannon County, MO                                2010         3,227        2,752        475     14.7
CN2920500000000   29     205   Shelby County, MO                                 2010         3,228        2,952        276      8.6
CN2920700000000   29     207   Stoddard County, MO                               2010        13,546       12,144      1,402     10.3
CN2920900000000   29     209   Stone County, MO                                  2010        14,428       12,448      1,980     13.7
CN2921100000000   29     211   Sullivan County, MO                               2010         2,925        2,669        256      8.8
CN2921300000000   29     213   Taney County, MO                                  2010        25,956       22,368      3,588     13.8
CN2921500000000   29     215   Texas County, MO                                  2010         9,798        8,727      1,071     10.9
CN2921700000000   29     217   Vernon County, MO                                 2010         9,532        8,750        782      8.2
CN2921900000000   29     219   Warren County, MO                                 2010        17,179       15,311      1,868     10.9
CN2922100000000   29     221   Washington County, MO                             2010        10,208        8,756      1,452     14.2
CN2922300000000   29     223   Wayne County, MO                                  2010         5,541        4,948        593     10.7
CN2922500000000   29     225   Webster County, MO                                2010        16,314       14,608      1,706     10.5
CN2922700000000   29     227   Worth County, MO                                  2010         1,244        1,160         84      6.8
CN2922900000000   29     229   Wright County, MO                                 2010         7,580        6,683        897     11.8
CN2951000000000   29     510   St. Louis city, MO                                2010       164,163      145,451     18,712     11.4
CN3000100000000   30     001   Beaverhead County, MT                             2010         5,014        4,721        293      5.8
CN3000300000000   30     003   Big Horn County, MT                               2010         5,525        4,928        597     10.8
