                               Labor Force Data by County, 1990 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                1990        16,936       15,831      1,105      6.5
CN0100300000000   01     003   Baldwin County, AL                                1990        46,896       44,429      2,467      5.3
CN0100500000000   01     005   Barbour County, AL                                1990        11,510       10,604        906      7.9
CN0100700000000   01     007   Bibb County, AL                                   1990         7,449        6,766        683      9.2
CN0100900000000   01     009   Blount County, AL                                 1990        19,196       17,975      1,221      6.4
CN0101100000000   01     011   Bullock County, AL                                1990         4,416        3,863        553     12.5
CN0101300000000   01     013   Butler County, AL                                 1990         8,857        7,714      1,143     12.9
CN0101500000000   01     015   Calhoun County, AL                                1990        51,604       47,895      3,709      7.2
CN0101700000000   01     017   Chambers County, AL                               1990        17,736       16,452      1,284      7.2
CN0101900000000   01     019   Cherokee County, AL                               1990         9,659        8,702        957      9.9
CN0102100000000   01     021   Chilton County, AL                                1990        15,217       13,850      1,367      9.0
CN0102300000000   01     023   Choctaw County, AL                                1990         6,723        5,874        849     12.6
CN0102500000000   01     025   Clarke County, AL                                 1990        11,732       10,768        964      8.2
CN0102700000000   01     027   Clay County, AL                                   1990         6,348        5,896        452      7.1
CN0102900000000   01     029   Cleburne County, AL                               1990         6,289        5,875        414      6.6
CN0103100000000   01     031   Coffee County, AL                                 1990        18,866       17,667      1,199      6.4
CN0103300000000   01     033   Colbert County, AL                                1990        24,545       22,552      1,993      8.1
CN0103500000000   01     035   Conecuh County, AL                                1990         5,775        5,208        567      9.8
CN0103700000000   01     037   Coosa County, AL                                  1990         4,990        4,668        322      6.5
CN0103900000000   01     039   Covington County, AL                              1990        17,189       15,853      1,336      7.8
CN0104100000000   01     041   Crenshaw County, AL                               1990         6,092        5,635        457      7.5
CN0104300000000   01     043   Cullman County, AL                                1990        32,905       30,563      2,342      7.1
CN0104500000000   01     045   Dale County, AL                                   1990        20,566       19,406      1,160      5.6
CN0104700000000   01     047   Dallas County, AL                                 1990        19,501       17,116      2,385     12.2
CN0104900000000   01     049   DeKalb County, AL                                 1990        27,431       25,378      2,053      7.5
CN0105100000000   01     051   Elmore County, AL                                 1990        22,568       21,174      1,394      6.2
CN0105300000000   01     053   Escambia County, AL                               1990        15,030       13,722      1,308      8.7
CN0105500000000   01     055   Etowah County, AL                                 1990        46,721       41,570      5,151     11.0
CN0105700000000   01     057   Fayette County, AL                                1990         8,507        7,667        840      9.9
CN0105900000000   01     059   Franklin County, AL                               1990        13,665       12,111      1,554     11.4
CN0106100000000   01     061   Geneva County, AL                                 1990        11,126       10,596        530      4.8
CN0106300000000   01     063   Greene County, AL                                 1990         3,785        3,342        443     11.7
CN0106500000000   01     065   Hale County, AL                                   1990         6,213        5,731        482      7.8
CN0106700000000   01     067   Henry County, AL                                  1990         6,878        6,547        331      4.8
CN0106900000000   01     069   Houston County, AL                                1990        40,907       39,110      1,797      4.4
CN0107100000000   01     071   Jackson County, AL                                1990        23,721       21,543      2,178      9.2
CN0107300000000   01     073   Jefferson County, AL                              1990       311,494      295,655     15,839      5.1
CN0107500000000   01     075   Lamar County, AL                                  1990         7,703        7,085        618      8.0
CN0107700000000   01     077   Lauderdale County, AL                             1990        38,093       35,429      2,664      7.0
CN0107900000000   01     079   Lawrence County, AL                               1990        15,166       13,891      1,275      8.4
CN0108100000000   01     081   Lee County, AL                                    1990        43,517       40,847      2,670      6.1
CN0108300000000   01     083   Limestone County, AL                              1990        26,696       24,943      1,753      6.6
CN0108500000000   01     085   Lowndes County, AL                                1990         4,838        4,073        765     15.8
CN0108700000000   01     087   Macon County, AL                                  1990         9,237        8,406        831      9.0
CN0108900000000   01     089   Madison County, AL                                1990       128,972      122,728      6,244      4.8
CN0109100000000   01     091   Marengo County, AL                                1990         9,851        9,188        663      6.7
CN0109300000000   01     093   Marion County, AL                                 1990        14,433       12,388      2,045     14.2
CN0109500000000   01     095   Marshall County, AL                               1990        35,317       32,139      3,178      9.0
CN0109700000000   01     097   Mobile County, AL                                 1990       171,301      159,374     11,927      7.0
CN0109900000000   01     099   Monroe County, AL                                 1990        10,340        9,247      1,093     10.6
CN0110100000000   01     101   Montgomery County, AL                             1990       101,090       94,745      6,345      6.3
CN0110300000000   01     103   Morgan County, AL                                 1990        50,544       47,288      3,256      6.4
CN0110500000000   01     105   Perry County, AL                                  1990         4,872        4,234        638     13.1
CN0110700000000   01     107   Pickens County, AL                                1990         8,621        7,826        795      9.2
CN0110900000000   01     109   Pike County, AL                                   1990        12,329       11,578        751      6.1
CN0111100000000   01     111   Randolph County, AL                               1990         9,294        8,571        723      7.8
CN0111300000000   01     113   Russell County, AL                                1990        21,726       19,949      1,777      8.2
CN0111500000000   01     115   St. Clair County, AL                              1990        23,432       22,127      1,305      5.6
CN0111700000000   01     117   Shelby County, AL                                 1990        53,345       51,596      1,749      3.3
CN0111900000000   01     119   Sumter County, AL                                 1990         6,010        5,422        588      9.8
CN0112100000000   01     121   Talladega County, AL                              1990        33,707       30,584      3,123      9.3
CN0112300000000   01     123   Tallapoosa County, AL                             1990        19,272       18,027      1,245      6.5
CN0112500000000   01     125   Tuscaloosa County, AL                             1990        70,117       66,890      3,227      4.6
CN0112700000000   01     127   Walker County, AL                                 1990        30,264       27,418      2,846      9.4
CN0112900000000   01     129   Washington County, AL                             1990         6,610        5,900        710     10.7
CN0113100000000   01     131   Wilcox County, AL                                 1990         4,249        3,719        530     12.5
